clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
the youth/The youth,13,7,44,51,the youth,male,1.0,primary
a lad who was better off than all the others,4,1,38,39,a lad who was better off than all the others,male,1.0,primary
The king 's daughter/the king 's daughter,16,9,21,30,The king 's daughter,male,1.0,secondary
a foreign doctor from afar,60,1,19,20,a foreign doctor from afar,male,1.0,secondary
the king/The king,10,11,2,13,the king,male,1.0,tertiary
a daughter,11,1,8,9,a daughter,female,1.0,tertiary
the peddler from abroad,44,1,1,2,the peddler from abroad,male,1.0,tertiary
the best physicians in the country,56,1,1,2,the best physicians in the country,group/nonbinary,1.0,tertiary
the maiden,45,2,0,2,the maiden,female,1.0,tertiary
no wife,5,1,0,1,no wife,female,1.0,tertiary
the peddler,46,1,0,1,the peddler,unknown,0.0,tertiary
Tom,1,1,0,1,Tom,unknown,0.0,tertiary
Dick,2,1,0,1,Dick,unknown,0.0,tertiary
Harry,3,1,0,1,Harry,unknown,0.0,tertiary
The king 's daughter/the king 's daughter--her maidens,43,1,0,1,The king 's daughter's maidens,female,0.5,tertiary
the best physicians in the country--none of them,58,1,0,1,the best physicians in the country's of them,unknown,0.0,tertiary
the princess,59,1,0,1,the princess,female,1.0,tertiary
a peddler,40,1,0,1,a peddler,unknown,0.0,tertiary
people from East and West,70,1,0,1,people from East and West,unknown,0.0,tertiary
