clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
The prince/the prince,178,20,45,65,The prince,male,1.0,primary
The king/the king,15,9,41,50,The king,male,1.0,primary
the youngest/The youngest,8,8,17,25,the youngest,female,0.7777777777777778,secondary
The smith/the smith,228,9,12,21,The smith,male,1.0,secondary
the three sisters,75,1,18,19,the three sisters,female,1.0,tertiary
Seven Inches,1,7,8,15,Seven Inches,male,1.0,tertiary
the youngest of all,167,2,13,15,the youngest of all,male,1.0,tertiary
the princess,55,4,10,14,the princess,female,1.0,tertiary
the poor prince,213,1,13,14,the poor prince,male,1.0,tertiary
the other,164,4,7,11,the other,unknown,0.0,tertiary
the giant,192,6,5,11,the giant,male,1.0,tertiary
the men,159,1,9,10,the men,male,1.0,tertiary
prince,180,2,7,9,prince,male,1.0,tertiary
the eldest,24,2,5,7,the eldest,male,1.0,tertiary
the eldest princess,49,3,4,7,the eldest princess,female,1.0,tertiary
the four men,34,1,5,6,the four men,male,1.0,tertiary
three princes,9,1,5,6,three princes,male,1.0,tertiary
the elder of the two princes,106,1,5,6,the elder of the two princes,male,1.0,tertiary
The other princes,44,1,5,6,The other princes,male,1.0,tertiary
all the men,31,1,4,5,all the men,male,1.0,tertiary
The two bridegrooms,243,1,4,5,The two bridegrooms,group/nonbinary,1.0,tertiary
the youngest prince,161,2,2,4,the youngest prince,male,1.0,tertiary
the youngest/The youngest--her father,28,1,3,4,the youngest's father,male,1.0,tertiary
the two eldest/The two eldest,7,2,2,4,the two eldest,group/nonbinary,1.0,tertiary
the two princes,86,3,1,4,the two princes,male,1.0,tertiary
the second princess,47,3,1,4,the second princess,female,1.0,tertiary
a poor beggar,14,1,3,4,a poor beggar,male,1.0,tertiary
fair lady,100,1,2,3,fair lady,female,1.0,tertiary
the princes that were courting the eldest ladies,237,1,2,3,the princes that were courting the eldest ladies,female,0.375,tertiary
the other sister,63,1,2,3,the other sister,female,1.0,tertiary
the young smith,287,2,1,3,the young smith,male,1.0,tertiary
The youngest pair/the youngest pair,83,2,1,3,The youngest pair,group/nonbinary,1.0,tertiary
The prince/the prince--his bride,187,2,1,3,The prince's bride,female,1.0,tertiary
the ladies,36,2,1,3,the ladies,female,1.0,tertiary
the youngest/The youngest--your princess,150,1,2,3,the youngest's princess,female,1.0,tertiary
the neighbours,256,1,1,2,the neighbours,group/nonbinary,1.0,tertiary
the giants,66,2,0,2,the giants,unknown,0.0,tertiary
the little man,183,1,1,2,the little man,male,1.0,tertiary
the eldest princess--her prince,211,1,1,2,the eldest princess's prince,male,1.0,tertiary
one another,182,2,0,2,one another,unknown,0.0,tertiary
daughter,271,1,1,2,daughter,unknown,0.0,tertiary
the three sisters--your crows,206,1,1,2,the three sisters's crows,group/nonbinary,1.0,tertiary
the two brides,241,1,1,2,the two brides,group/nonbinary,1.0,tertiary
the two elder couples,139,1,1,2,the two elder couples,group/nonbinary,1.0,tertiary
the princesses,97,1,1,2,the princesses,female,1.0,tertiary
the two eldest/The two eldest--their lovers,77,2,0,2,the two eldest's lovers,unknown,0.0,tertiary
the other prince,124,1,1,2,the other prince,male,1.0,tertiary
the three princesses,153,1,1,2,the three princesses,female,1.0,tertiary
The fox,292,1,1,2,The fox,unknown,0.0,tertiary
Bad people,151,1,1,2,Bad people,group/nonbinary,1.0,tertiary
a tailor,232,1,1,2,a tailor,male,1.0,tertiary
Master,283,2,0,2,Master,unknown,0.0,tertiary
the eldest ladies,11,2,0,2,the eldest ladies,female,1.0,tertiary
the second eldest,25,1,1,2,the second eldest,unknown,0.0,tertiary
the eldest princesses,16,1,1,2,the eldest princesses,female,1.0,tertiary
the youngest daughter,18,1,1,2,the youngest daughter,female,1.0,tertiary
a white smith on the face of the earth,99,1,0,1,a white smith on the face of the earth,unknown,0.0,tertiary
the idlers,258,1,0,1,the idlers,unknown,0.0,tertiary
my youngest daughter,93,1,0,1,my youngest daughter,unknown,0.0,tertiary
Faith,4,1,0,1,Faith,unknown,0.0,tertiary
the dead men,244,1,0,1,the dead men,male,1.0,tertiary
the clerk,247,1,0,1,the clerk,unknown,0.0,tertiary
a wife to whoever brings three crowns to me like the others,94,1,0,1,a wife to whoever brings three crowns to me like the others,female,1.0,tertiary
some other one,96,1,0,1,some other one,unknown,0.0,tertiary
a king,5,1,0,1,a king,male,1.0,tertiary
the workman,261,1,0,1,the workman,unknown,0.0,tertiary
the whole townland,265,1,0,1,the whole townland,unknown,0.0,tertiary
the old king,142,1,0,1,the old king,male,1.0,tertiary
the two other princes,137,1,0,1,the two other princes,male,1.0,tertiary
Every one,136,1,0,1,Every one,unknown,0.0,tertiary
The prince/the prince--your wife,295,1,0,1,The prince's wife,female,1.0,tertiary
a better messenger,293,1,0,1,a better messenger,unknown,0.0,tertiary
the new messenger,126,1,0,1,the new messenger,unknown,0.0,tertiary
The king/the king--My lord,286,1,0,1,The king's lord,unknown,0.0,tertiary
the eldest prince,123,1,0,1,the eldest prince,male,1.0,tertiary
The king/the king--his new son - in - law,121,1,0,1,The king's new son - in - law,unknown,0.0,tertiary
The young prince,112,1,0,1,The young prince,male,1.0,tertiary
the fellow,279,1,0,1,the fellow,unknown,0.0,tertiary
the man that these crowns,274,1,0,1,the man that these crowns,male,1.0,tertiary
father,273,1,0,1,father,male,1.0,tertiary
the fellow that made these crowns,272,1,0,1,the fellow that made these crowns,unknown,0.0,tertiary
a big fellow,270,1,0,1,a big fellow,unknown,0.0,tertiary
The king/the king--your majesty,269,1,0,1,The king's majesty,unknown,0.0,tertiary
a married man,268,1,0,1,a married man,male,1.0,tertiary
the bridegroom,278,1,0,1,the bridegroom,unknown,0.0,tertiary
princesses,72,1,0,1,princesses,female,1.0,tertiary
the youngest/The youngest--her bridegroom,236,1,0,1,the youngest's bridegroom,unknown,0.0,tertiary
princes,156,1,0,1,princes,male,1.0,tertiary
the youngest sister,179,1,0,1,the youngest sister,female,1.0,tertiary
people,40,1,0,1,people,unknown,0.0,tertiary
the second prince,166,1,0,1,the second prince,male,1.0,tertiary
Guards,165,1,0,1,Guards,unknown,0.0,tertiary
the second daughter 's sweetheart,163,1,0,1,the second daughter 's sweetheart,unknown,0.0,tertiary
the second daughter,162,1,0,1,the second daughter,unknown,0.0,tertiary
the last lady,158,1,0,1,the last lady,female,1.0,tertiary
king,155,1,0,1,king,male,1.0,tertiary
sir,43,1,0,1,sir,unknown,0.0,tertiary
the poor men,152,1,0,1,the poor men,male,1.0,tertiary
the youngest/The youngest--your brides,149,1,0,1,the youngest's brides,unknown,0.0,tertiary
the youngest/The youngest--your daughters,148,1,0,1,the youngest's daughters,unknown,0.0,tertiary
a little man only seven inches high,30,1,0,1,a little man only seven inches high,male,1.0,tertiary
the youngest daughter--her true love,19,1,0,1,the youngest daughter's true love,unknown,0.0,tertiary
the eldest princesses--their sweethearts,17,1,0,1,the eldest princesses's sweethearts,unknown,0.0,tertiary
three princes--two of them,10,1,0,1,three princes's of them,unknown,0.0,tertiary
princess,181,1,0,1,princess,female,1.0,tertiary
