clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
Dullhead/And Dullhead,1,23,54,77,Dullhead,male,1.0,primary
"a man who was drawing in a strap as tight as he could round his body , and making a most woeful face the while--a man who was drawing in a strap as tight as he could round his body , and making a most woeful face the while",80,1,19,20,"a man who was drawing in a strap as tight as he could round his body , and making a most woeful face the while's man who was drawing in a strap as tight as he could round his body , and making a most woeful face the while",male,1.0,tertiary
the King,59,9,9,18,the King,male,1.0,tertiary
the eldest son,5,1,16,17,the eldest son,male,1.0,tertiary
the second son,14,2,15,17,the second son,male,1.0,tertiary
the parson,44,3,12,15,the parson,male,1.0,tertiary
the man,70,2,10,12,the man,male,1.0,tertiary
the other two,39,1,10,11,the other two,group/nonbinary,1.0,tertiary
two peasants,51,1,7,8,two peasants,group/nonbinary,1.0,tertiary
The younger sister,40,1,7,8,The younger sister,female,1.0,tertiary
a little old grey man,9,1,6,7,a little old grey man,male,1.0,tertiary
The eldest,34,1,6,7,The eldest,female,1.0,tertiary
this clever son,10,1,4,5,this clever son,unknown,0.0,tertiary
the second daughter,36,1,4,5,the second daughter,female,1.0,tertiary
the little grey old man,25,1,3,4,the little grey old man,male,1.0,tertiary
the Princess,60,1,3,4,the Princess,female,1.0,tertiary
the three girls who were hanging on to it,42,1,3,4,the three girls who were hanging on to it,female,1.0,tertiary
the little old grey man,18,1,3,4,the little old grey man,male,1.0,tertiary
the eldest son--his mother/His mother,7,3,1,4,the eldest son's mother,female,1.0,tertiary
the little man,27,2,1,3,the little man,male,1.0,tertiary
the clerk,48,3,0,3,the clerk,unknown,0.0,tertiary
the youngest girl,46,1,2,3,the youngest girl,female,1.0,tertiary
Dullhead/And Dullhead--his bride,63,3,0,3,Dullhead's bride,unknown,0.0,tertiary
a man sitting with a most dismal expression of face,69,1,2,3,a man sitting with a most dismal expression of face,male,1.0,tertiary
three daughters,32,1,2,3,three daughters,group/nonbinary,1.0,tertiary
the man from the wood,107,1,1,2,the man from the wood,male,1.0,tertiary
the King--his daughter,78,2,0,2,the King's daughter,unknown,0.0,tertiary
Dullhead/And Dullhead--his father,21,2,0,2,Dullhead's father,male,1.0,tertiary
Both,95,1,1,2,Both,unknown,0.0,tertiary
three girls,50,1,1,2,three girls,female,1.0,tertiary
three sons,3,1,1,2,three sons,group/nonbinary,1.0,tertiary
"body , and making a most woeful face the while",81,1,0,1,"body , and making a most woeful face the while",unknown,0.0,tertiary
my daughter,84,1,0,1,my daughter,unknown,0.0,tertiary
the little grey man,67,1,0,1,the little grey man,male,1.0,tertiary
a man who could drink up a whole cellarful of wine,66,1,0,1,a man who could drink up a whole cellarful of wine,male,1.0,tertiary
a son - in - law,65,1,0,1,a son - in - law,unknown,0.0,tertiary
"a stupid fellow whom people called ' Dullhead ' carrying off his daughter , and he began to make fresh conditions . He required Dullhead to find a man who could eat a mountain of bread . Dullhead did not wait to consider long but went straight off to the forest , and there on the same spot sat a man who was drawing in a strap as tight as he could round his body , and making a most woeful face the while . Said he : ' I 've eaten up a whole oven full of loaves , but what 's the good of that to anyone who is as hungry as I am",101,1,0,1,"a stupid fellow whom people called ' Dullhead ' carrying off his daughter , and he began to make fresh conditions . He required Dullhead to find a man who could eat a mountain of bread . Dullhead did not wait to consider long but went straight off to the forest , and there on the same spot sat a man who was drawing in a strap as tight as he could round his body , and making a most woeful face the while . Said he : ' I 've eaten up a whole oven full of loaves , but what 's the good of that to anyone who is as hungry as I am",male,1.0,tertiary
each other,62,1,0,1,each other,unknown,0.0,tertiary
people,77,1,0,1,people,unknown,0.0,tertiary
Dullhead/And Dullhead--the little old grey man with whom he had shared his cake,113,1,0,1,Dullhead's little old grey man with whom he had shared his cake,male,1.0,tertiary
these seven people,61,1,0,1,these seven people,unknown,0.0,tertiary
a man,2,1,0,1,a man,male,1.0,tertiary
a King,56,1,0,1,a King,male,1.0,tertiary
the landlord of the inn,30,1,0,1,the landlord of the inn,unknown,0.0,tertiary
three sons--The youngest of them,4,1,0,1,three sons's youngest of them,unknown,0.0,tertiary
the little man standing there,11,1,0,1,the little man standing there,male,1.0,tertiary
the second son--his elder brother,17,1,0,1,the second son's elder brother,male,1.0,tertiary
Father,94,1,0,1,Father,male,1.0,tertiary
Dullhead/And Dullhead--your brothers,96,1,0,1,Dullhead's brothers,male,1.0,tertiary
others,97,1,0,1,others,unknown,0.0,tertiary
each,33,1,0,1,each,unknown,0.0,tertiary
the other two--the rest of them,47,1,0,1,the other two's rest of them,unknown,0.0,tertiary
the second daughter--her sister,37,1,0,1,the second daughter's sister,female,1.0,tertiary
the third sister,38,1,0,1,the third sister,female,1.0,tertiary
all three,41,1,0,1,all three,unknown,0.0,tertiary
this procession,45,1,0,1,this procession,unknown,0.0,tertiary
the three girls who were hanging on to it--you bold girls,98,1,0,1,the three girls who were hanging on to it's bold girls,female,1.0,tertiary
a young fellow,99,1,0,1,a young fellow,unknown,0.0,tertiary
Dullhead/And Dullhead--his wife,93,1,0,1,Dullhead's wife,female,1.0,tertiary
