clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
Esben,2,32,97,129,Esben,male,1.0,primary
the king/The king,11,28,37,65,the king,male,1.0,secondary
Peter,0,9,33,42,Peter,male,1.0,secondary
the princess,28,8,20,28,the princess,female,1.0,tertiary
the queen/The queen,117,7,21,28,the queen,female,1.0,tertiary
the hares,18,3,13,16,the hares,group/nonbinary,1.0,tertiary
The old woman/the old woman,47,3,11,14,The old woman,female,1.0,tertiary
the youngest,8,2,10,12,the youngest,male,1.0,tertiary
the chamber - maid,104,2,9,11,the chamber - maid,female,1.0,tertiary
Peter--his father/His father,14,5,2,7,Peter's father,male,1.0,tertiary
the woman,22,1,6,7,the woman,female,1.0,tertiary
Paul,1,2,4,6,Paul,male,1.0,tertiary
mother,160,2,4,6,mother,female,1.0,tertiary
the women,126,2,3,5,the women,female,1.0,tertiary
All three,9,1,4,5,All three,group/nonbinary,1.0,tertiary
the old woman who was wedged by the nose in the tree - trunk,70,1,4,5,the old woman who was wedged by the nose in the tree - trunk,female,1.0,tertiary
a man who lived in the little back room,3,1,3,4,a man who lived in the little back room,male,1.0,tertiary
Whoever herded the king 's hares,60,1,2,3,Whoever herded the king 's hares,male,1.0,tertiary
an old woman who had got her nose wedged in a tree - stump while chopping wood--an old woman who had got her nose wedged in a tree - stump while chopping wood,21,1,2,3,an old woman who had got her nose wedged in a tree - stump while chopping wood's old woman who had got her nose wedged in a tree - stump while chopping wood,female,1.0,tertiary
Esben--the chamber - maid who came to him and wanted to buy the whistle for a hundred dollars,144,1,1,2,Esben's chamber - maid who came to him and wanted to buy the whistle for a hundred dollars,female,1.0,tertiary
the old woman with her nose in the tree - trunk--the old woman with her nose in the tree - trunk,143,1,1,2,the old woman with her nose in the tree - trunk's old woman with her nose in the tree - trunk,female,1.0,tertiary
the king 's hares,45,1,1,2,the king 's hares,male,1.0,tertiary
a shepherd,12,2,0,2,a shepherd,unknown,0.0,tertiary
a herdsman,26,1,0,1,a herdsman,unknown,0.0,tertiary
queen,97,1,0,1,queen,female,1.0,tertiary
such a knave,141,1,0,1,such a knave,unknown,0.0,tertiary
the king/The king--my Snow Witch,170,1,0,1,the king's Snow Witch,unknown,0.0,tertiary
good friends,128,1,0,1,good friends,unknown,0.0,tertiary
three sons,7,1,0,1,three sons,unknown,0.0,tertiary
stupid women,169,1,0,1,stupid women,female,1.0,tertiary
no one lower in rank than the king,15,1,0,1,no one lower in rank than the king,male,1.0,tertiary
a chap,164,1,0,1,a chap,unknown,0.0,tertiary
soldiers on the drill - ground,92,1,0,1,soldiers on the drill - ground,unknown,0.0,tertiary
a herd of sheep,95,1,0,1,a herd of sheep,unknown,0.0,tertiary
a single one of the king 's hares,29,1,0,1,a single one of the king 's hares,male,1.0,tertiary
a regiment of soldiers on the drill - ground,91,1,0,1,a regiment of soldiers on the drill - ground,unknown,0.0,tertiary
"a poor , feeble old woman",159,1,0,1,"a poor , feeble old woman",female,1.0,tertiary
any lesser master,67,1,0,1,any lesser master,unknown,0.0,tertiary
Whoever wanted to escape with a whole back,64,1,0,1,Whoever wanted to escape with a whole back,unknown,0.0,tertiary
flees with gloved hands,63,1,0,1,flees with gloved hands,unknown,0.0,tertiary
the youngest--his brothers,59,1,0,1,the youngest's brothers,male,1.0,tertiary
the heir,6,1,0,1,the heir,unknown,0.0,tertiary
no hares,39,1,0,1,no hares,unknown,0.0,tertiary
the very last one,36,1,0,1,the very last one,unknown,0.0,tertiary
fellow,174,1,0,1,fellow,unknown,0.0,tertiary
