clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
the King/The King,53,38,62,100,the King,male,1.0,primary
The child/the child,120,29,59,88,The child,male,1.0,primary
Rough Niall/Niall,6,12,53,65,Rough Niall,male,1.0,secondary
Morraha,2,19,44,63,Morraha,male,1.0,secondary
my wife,74,4,48,52,my wife,female,1.0,secondary
the young man/The young man,13,7,41,48,the young man,male,1.0,secondary
Brown Allree,5,4,27,31,Brown Allree,female,1.0,tertiary
the mistress,200,1,14,15,the mistress,female,1.0,tertiary
the woman/The woman,36,5,10,15,the woman,female,1.0,tertiary
the young King,58,1,13,14,the young King,male,1.0,tertiary
the young man/The young man--his wife,42,3,9,12,the young man's wife,female,1.0,tertiary
Anshgayliacht,4,8,0,8,Anshgayliacht,unknown,0.0,tertiary
The hag/the hag,226,5,3,8,The hag,female,1.0,tertiary
the stranger woman,148,2,6,8,the stranger woman,female,1.0,tertiary
a man,89,4,2,6,a man,male,1.0,tertiary
Everyone/everyone,93,5,1,6,Everyone,unknown,0.0,tertiary
A maid,198,1,5,6,A maid,female,1.0,tertiary
the boy who was taking the child from me,220,1,5,6,the boy who was taking the child from me,male,1.0,tertiary
the man/The man,70,4,2,6,the man,male,1.0,tertiary
the slender red champion/the Slender Red Champion,17,3,3,6,the slender red champion,female,0.6666666666666666,tertiary
queen/Queen,275,4,1,5,queen,female,1.0,tertiary
an old hag,215,1,4,5,an old hag,female,1.0,tertiary
the Queen/The Queen,59,3,2,5,the Queen,female,1.0,tertiary
one youthful champion,9,1,4,5,one youthful champion,female,0.6666666666666666,tertiary
the messenger,135,1,3,4,the messenger,male,1.0,tertiary
Rough Niall/Niall--his mother,64,4,0,4,Rough Niall's mother,female,1.0,tertiary
the son of a king or queen,273,2,2,4,the son of a king or queen,male,0.625,tertiary
Niall 's wife,69,1,3,4,Niall 's wife,female,1.0,tertiary
Eight sons,118,1,3,4,Eight sons,group/nonbinary,1.0,tertiary
the woman behind,106,1,2,3,the woman behind,female,1.0,tertiary
the mare,46,1,2,3,the mare,female,1.0,tertiary
an old hag--my son,306,2,1,3,an old hag's son,male,1.0,tertiary
God,3,3,0,3,God,unknown,0.0,tertiary
your own child,319,1,1,2,your own child,male,1.0,tertiary
The other,14,2,0,2,The other,unknown,0.0,tertiary
one another,77,2,0,2,one another,unknown,0.0,tertiary
the young man's wife--my father,268,2,0,2,the young man's wife's father,male,1.0,tertiary
The thief,229,1,1,2,The thief,male,1.0,tertiary
The child/the child--my shaggy papa,299,2,0,2,The child's shaggy papa,unknown,0.0,tertiary
the mother,62,1,1,2,the mother,female,1.0,tertiary
a king,274,2,0,2,a king,male,1.0,tertiary
The servants,196,1,0,1,The servants,unknown,0.0,tertiary
"naughty , dirty , shaggy papa",303,1,0,1,"naughty , dirty , shaggy papa",unknown,0.0,tertiary
shaggy papa,301,1,0,1,shaggy papa,unknown,0.0,tertiary
my child,186,1,0,1,my child,unknown,0.0,tertiary
the master,304,1,0,1,the master,unknown,0.0,tertiary
Another,199,1,0,1,Another,unknown,0.0,tertiary
everyone in the house,158,1,0,1,everyone in the house,unknown,0.0,tertiary
a woman,156,1,0,1,a woman,female,1.0,tertiary
no living man,305,1,0,1,no living man,male,1.0,tertiary
not one at all,317,1,0,1,not one at all,unknown,0.0,tertiary
The child/the child--his father,206,1,0,1,The child's father,male,1.0,tertiary
their mother,249,1,0,1,their mother,female,1.0,tertiary
children,316,1,0,1,children,unknown,0.0,tertiary
all those young people,239,1,0,1,all those young people,unknown,0.0,tertiary
the one King,315,1,0,1,the one King,male,1.0,tertiary
the young women,313,1,0,1,the young women,female,1.0,tertiary
the young men,312,1,0,1,the young men,male,1.0,tertiary
the King/The King--your other children,318,1,0,1,the King's other children,unknown,0.0,tertiary
anyone laid eyes on,309,1,0,1,anyone laid eyes on,unknown,0.0,tertiary
mother,207,1,0,1,mother,female,1.0,tertiary
three young women,308,1,0,1,three young women,female,1.0,tertiary
eight young lads,307,1,0,1,eight young lads,unknown,0.0,tertiary
a doctor,218,1,0,1,a doctor,unknown,0.0,tertiary
the hag 's son,255,1,0,1,the hag 's son,unknown,0.0,tertiary
the five children,262,1,0,1,the five children,unknown,0.0,tertiary
a living soul on it,212,1,0,1,a living soul on it,unknown,0.0,tertiary
the person who was groaning,219,1,0,1,the person who was groaning,unknown,0.0,tertiary
the woman behind--my lord,294,1,0,1,the woman behind's lord,female,1.0,tertiary
The servant,146,1,0,1,The servant,unknown,0.0,tertiary
Fool,283,1,0,1,Fool,unknown,0.0,tertiary
the cook,81,1,0,1,the cook,unknown,0.0,tertiary
not a king nor knight,291,1,0,1,not a king nor knight,male,1.0,tertiary
women,75,1,0,1,women,female,1.0,tertiary
my mother,72,1,0,1,my mother,female,1.0,tertiary
Rough Niall/Niall--your wife,287,1,0,1,Rough Niall's wife,female,1.0,tertiary
the little currach,66,1,0,1,the little currach,unknown,0.0,tertiary
Rough Niall/Niall--your father,284,1,0,1,Rough Niall's father,male,1.0,tertiary
the son of a king,56,1,0,1,the son of a king,male,1.0,tertiary
servants,134,1,0,1,servants,unknown,0.0,tertiary
the King of France,51,1,0,1,the King of France,male,1.0,tertiary
the son of a poor man,277,1,0,1,the son of a poor man,male,1.0,tertiary
the young man/The young man--a king under spells you are,267,1,0,1,the young man's king under spells you are,male,1.0,tertiary
"the son of a king under spells you are , "" said his wife",266,1,0,1,"the son of a king under spells you are , "" said his wife",female,0.5,tertiary
the Druid,264,1,0,1,the Druid,unknown,0.0,tertiary
each other,40,1,0,1,each other,unknown,0.0,tertiary
women the finest and fairest,33,1,0,1,women the finest and fairest,female,1.0,tertiary
a bellman out,83,1,0,1,a bellman out,unknown,0.0,tertiary
everyone who killed a raven,84,1,0,1,everyone who killed a raven,unknown,0.0,tertiary
man,86,1,0,1,man,male,1.0,tertiary
boy without a gun,87,1,0,1,boy without a gun,male,1.0,tertiary
neither child,132,1,0,1,neither child,unknown,0.0,tertiary
the person,130,1,0,1,the person,unknown,0.0,tertiary
the person woke who attended in the daytime,128,1,0,1,the person woke who attended in the daytime,unknown,0.0,tertiary
The women,125,1,0,1,The women,female,1.0,tertiary
the baby,124,1,0,1,the baby,unknown,0.0,tertiary
the twelfth child,122,1,0,1,the twelfth child,unknown,0.0,tertiary
three daughters,119,1,0,1,three daughters,unknown,0.0,tertiary
a child living,117,1,0,1,a child living,unknown,0.0,tertiary
a King who had not a child living,116,1,0,1,a King who had not a child living,male,1.0,tertiary
the King/The King--some king that has lost him when he came on the island,295,1,0,1,the King's king that has lost him when he came on the island,male,1.0,tertiary
the woman behind--My King,293,1,0,1,the woman behind's King,female,0.5,tertiary
the men,103,1,0,1,the men,male,1.0,tertiary
a shepherd,100,1,0,1,a shepherd,unknown,0.0,tertiary
no one at all,98,1,0,1,no one at all,unknown,0.0,tertiary
everyone who came near me,90,1,0,1,everyone who came near me,unknown,0.0,tertiary
strangers,263,1,0,1,strangers,unknown,0.0,tertiary
