sentence_id,event_id,temporal_rank
0,1,0
0,3,1
1,2,2
1,4,3
1,3,4
2,0,5
2,1,6
3,0,7
3,1,8
3,2,9
4,1,10
4,5,11
4,3,12
4,6,13
5,0,14
6,0,15
5,3,16
6,1,17
7,2,18
7,0,19
8,1,20
10,0,21
8,2,22
10,1,23
11,0,24
11,1,25
11,3,26
11,4,27
12,0,28
11,7,29
12,1,30
12,4,31
12,2,32
13,1,33
13,2,34
14,1,35
15,0,36
16,3,37
16,1,38
16,5,39
16,6,40
17,1,41
17,2,42
17,4,43
18,0,44
19,0,45
18,2,46
19,2,47
20,1,48
23,3,49
21,0,50
23,4,51
23,5,52
23,7,53
23,6,54
23,8,55
23,9,56
24,0,57
25,1,58
24,1,59
25,5,60
25,3,61
25,7,62
26,1,63
26,0,64
27,4,65
27,2,66
27,0,67
28,1,68
29,0,69
29,2,70
29,6,71
30,0,72
30,2,73
30,3,74
31,0,75
31,3,76
31,1,77
33,0,78
32,2,79
34,0,80
33,2,81
34,1,82
34,2,83
35,2,84
35,0,85
36,3,86
36,0,87
37,1,88
38,0,89
38,4,90
38,1,91
38,5,92
39,0,93
39,1,94
40,0,95
40,4,96
40,5,97
40,7,98
40,6,99
41,2,100
41,0,101
41,5,102
42,0,103
42,1,104
42,3,105
42,5,106
44,1,107
44,0,108
45,2,109
47,2,110
47,0,111
48,2,112
48,0,113
48,4,114
49,0,115
50,3,116
50,1,117
51,1,118
52,0,119
51,3,120
52,1,121
53,1,122
54,0,123
53,2,124
55,0,125
54,2,126
55,2,127
56,0,128
56,1,129
56,2,130
57,0,131
57,2,132
58,1,133
58,0,134
59,3,135
58,2,136
60,1,137
60,2,138
62,0,139
60,4,140
62,2,141
62,3,142
63,0,143
63,1,144
64,0,145
64,2,146
64,5,147
64,3,148
65,0,149
64,8,150
65,4,151
65,2,152
68,1,153
68,2,154
68,3,155
68,5,156
68,6,157
69,0,158
69,1,159
69,2,160
69,3,161
69,4,162
70,1,163
71,0,164
72,1,165
73,0,166
73,2,167
73,1,168
73,3,169
73,5,170
73,8,171
73,6,172
74,0,173
74,1,174
75,1,175
75,3,176
76,1,177
76,4,178
76,5,179
78,0,180
79,0,181
80,1,182
81,0,183
81,2,184
81,1,185
81,4,186
81,6,187
81,7,188
82,1,189
81,8,190
82,2,191
82,3,192
82,6,193
84,6,194
84,1,195
84,0,196
83,1,197
85,0,198
86,2,199
86,3,200
86,4,201
87,0,202
87,1,203
87,2,204
88,2,205
89,0,206
89,1,207
90,0,208
89,5,209
91,1,210
91,0,211
91,2,212
91,3,213
91,5,214
93,0,215
92,3,216
93,1,217
94,2,218
95,0,219
95,1,220
