clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
The Prince/the Prince,10,27,136,163,The Prince,male,1.0,primary
"the Mother - Dragon/the Mother Dragon/the Dragon/the old Mother Dragon , who was full of wonder when she saw him/Mother Dragon--the Mother - Dragon/the Mother Dragon/the Dragon/the old Mother Dragon , who was full of wonder when she saw him/Mother Dragon",0,6,22,28,the Mother - Dragon's Mother - Dragon,female,1.0,tertiary
the Flower Queen,153,7,7,14,the Flower Queen,female,1.0,tertiary
the old woman,12,4,9,13,the old woman,female,1.0,tertiary
the Flower Queen 's daughter/The Flower Queen 's daughter,162,6,7,13,the Flower Queen 's daughter,female,1.0,tertiary
an old woman,8,1,12,13,an old woman,female,1.0,tertiary
A young Prince,3,1,9,10,A young Prince,male,1.0,tertiary
the Mother Dragon,171,5,5,10,the Mother Dragon,female,1.0,tertiary
the Dragon/The Dragon,151,4,5,9,the Dragon,male,1.0,tertiary
a very old man,37,2,6,8,a very old man,male,1.0,tertiary
the Flower Queen 's beautiful daughter,81,1,7,8,the Flower Queen 's beautiful daughter,female,1.0,tertiary
the old man,39,3,4,7,the old man,male,1.0,tertiary
the King of the Fishes,149,2,3,5,the King of the Fishes,male,1.0,tertiary
the beautiful girl,84,2,2,4,the beautiful girl,female,1.0,tertiary
the King of the Foxes,148,3,1,4,the King of the Foxes,male,1.0,tertiary
their brother,110,1,3,4,their brother,male,1.0,tertiary
The young couple,121,1,2,3,The young couple,group/nonbinary,1.0,tertiary
the daughter of the Flower Queen,30,2,1,3,the daughter of the Flower Queen,female,1.0,tertiary
the King of the Eagles,147,3,0,3,the King of the Eagles,male,1.0,tertiary
the dragons--the eldest of them,59,1,2,3,the dragons's eldest of them,unknown,0.0,tertiary
The most beautiful woman in the whole world,142,1,2,3,The most beautiful woman in the whole world,female,1.0,tertiary
The Prince/the Prince--my father,156,2,1,3,The Prince's father,male,1.0,tertiary
the Flower Queen 's daughter/The Flower Queen 's daughter--her mother,125,2,0,2,the Flower Queen 's daughter's mother,female,1.0,tertiary
the dragons,58,1,1,2,the dragons,group/nonbinary,1.0,tertiary
the Dragon 's Mother,170,1,1,2,the Dragon 's Mother,female,1.0,tertiary
the Dragon 's old mother,165,1,1,2,the Dragon 's old mother,female,1.0,tertiary
the Flower Queen/The Flower Queen,2,2,0,2,the Flower Queen,female,1.0,tertiary
the Flower Queen--my daughter,186,1,1,2,the Flower Queen's daughter,female,1.0,tertiary
the Queen,112,1,1,2,the Queen,female,1.0,tertiary
all the fishes of the sea,181,1,1,2,all the fishes of the sea,group/nonbinary,1.0,tertiary
The Prince/the Prince--his beautiful bride,119,1,0,1,The Prince's beautiful bride,unknown,0.0,tertiary
many thousand foxes,90,1,0,1,many thousand foxes,unknown,0.0,tertiary
the Mother - Dragon's Mother - Dragon--my body - servant,185,1,0,1,the Mother - Dragon's Mother - Dragon's body - servant,female,1.0,tertiary
the Foxes,1,1,0,1,the Foxes,unknown,0.0,tertiary
the Flower Queen--her daughter,116,1,0,1,the Flower Queen's daughter,unknown,0.0,tertiary
a brave youth,184,1,0,1,a brave youth,unknown,0.0,tertiary
all the foxes of the world,177,1,0,1,all the foxes of the world,unknown,0.0,tertiary
grandson,50,1,0,1,grandson,unknown,0.0,tertiary
several young he - dragons and she - dragons,79,1,0,1,several young he - dragons and she - dragons,unknown,0.0,tertiary
"the Queen of the Flowers , who has been captured by a dragon",145,1,0,1,"the Queen of the Flowers , who has been captured by a dragon",female,1.0,tertiary
the old woman--My son,130,1,0,1,the old woman's son,unknown,0.0,tertiary
a very poor woman,131,1,0,1,a very poor woman,female,1.0,tertiary
a mighty Prince,138,1,0,1,a mighty Prince,male,1.0,tertiary
the most beautiful woman in the world for your wife,139,1,0,1,the most beautiful woman in the world for your wife,female,1.0,tertiary
The Prince/the Prince--your wife,141,1,0,1,The Prince's wife,female,1.0,tertiary
"the daughter of the Queen of the Flowers , who has been captured by a dragon",144,1,0,1,"the daughter of the Queen of the Flowers , who has been captured by a dragon",female,1.0,tertiary
a good fairy,27,1,0,1,a good fairy,unknown,0.0,tertiary
the Mother - Dragon's Mother - Dragon--my mare,175,1,0,1,the Mother - Dragon's Mother - Dragon's mare,female,1.0,tertiary
The Prince/the Prince--his father,29,1,0,1,The Prince's father,male,1.0,tertiary
the maid,32,1,0,1,the maid,unknown,0.0,tertiary
the third old man,48,1,0,1,the third old man,male,1.0,tertiary
The Prince/the Prince--his son,49,1,0,1,The Prince's son,unknown,0.0,tertiary
seven dragons,56,1,0,1,seven dragons,unknown,0.0,tertiary
the ugliest woman under the sun,65,1,0,1,the ugliest woman under the sun,female,1.0,tertiary
the Flower Queen 's daughter/The Flower Queen 's daughter--her husband,126,1,0,1,the Flower Queen 's daughter's husband,female,0.5,tertiary
