clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
Marie,1,11,26,37,Marie,female,1.0,primary
Snowflake,2,16,11,27,Snowflake,unknown,0.0,primary
Ivan,0,10,16,26,Ivan,male,1.0,primary
the girls,56,1,20,21,the girls,female,1.0,secondary
The children/the children,13,2,7,9,The children,group/nonbinary,1.0,tertiary
the child,24,2,4,6,the child,female,1.0,tertiary
the two,22,1,4,5,the two,group/nonbinary,1.0,tertiary
The old couple,31,1,3,4,The old couple,group/nonbinary,1.0,tertiary
the snow - child/The snow - child,25,2,2,4,the snow - child,unknown,0.0,tertiary
the young girls,52,1,3,4,the young girls,female,1.0,tertiary
village children,33,1,2,3,village children,group/nonbinary,1.0,tertiary
The village girls,40,1,1,2,The village girls,female,1.0,tertiary
the living children,26,1,1,2,the living children,group/nonbinary,1.0,tertiary
the old man--his wife,16,2,0,2,the old man's wife,female,1.0,tertiary
a snow woman,18,2,0,2,a snow woman,female,1.0,tertiary
the old woman,29,1,1,2,the old woman,female,1.0,tertiary
a sister,50,1,1,2,a sister,female,1.0,tertiary
the old man,15,1,1,2,the old man,male,1.0,tertiary
mother,81,1,0,1,mother,female,1.0,tertiary
Marie--my dove,87,1,0,1,Marie's dove,unknown,0.0,tertiary
the gayer,44,1,0,1,the gayer,unknown,0.0,tertiary
everyone else,62,1,0,1,everyone else,unknown,0.0,tertiary
the sadder,45,1,0,1,the sadder,unknown,0.0,tertiary
Snowflake--your friends,84,1,0,1,Snowflake's friends,unknown,0.0,tertiary
no Snowflake,61,1,0,1,no Snowflake,unknown,0.0,tertiary
each other,58,1,0,1,each other,unknown,0.0,tertiary
dear children,85,1,0,1,dear children,unknown,0.0,tertiary
a sister--her brother,51,1,0,1,a sister's brother,male,1.0,tertiary
St. John,3,1,0,1,St. John,unknown,0.0,tertiary
dear child,80,1,0,1,dear child,unknown,0.0,tertiary
the girl,55,1,0,1,the girl,female,1.0,tertiary
Marie--my Snowflake,83,1,0,1,Marie's Snowflake,unknown,0.0,tertiary
her playmates,47,1,0,1,her playmates,unknown,0.0,tertiary
a peasant,4,1,0,1,a peasant,unknown,0.0,tertiary
The old couple--their doll,35,1,0,1,The old couple's doll,unknown,0.0,tertiary
a little girl whom Marie held in her arms,28,1,0,1,a little girl whom Marie held in her arms,female,1.0,tertiary
a wife,5,1,0,1,a wife,female,1.0,tertiary
no children,7,1,0,1,no children,unknown,0.0,tertiary
old people,8,1,0,1,old people,unknown,0.0,tertiary
the children of their neighbours at all,9,1,0,1,the children of their neighbours at all,unknown,0.0,tertiary
their neighbours,10,1,0,1,their neighbours,unknown,0.0,tertiary
nobody living,11,1,0,1,nobody living,unknown,0.0,tertiary
the tallest man,12,1,0,1,the tallest man,male,1.0,tertiary
Wife,69,1,0,1,Wife,female,1.0,tertiary
a woman,71,1,0,1,a woman,female,1.0,tertiary
a little snow child,72,1,0,1,a little snow child,unknown,0.0,tertiary
a living one,73,1,0,1,a living one,unknown,0.0,tertiary
Ivan--his old wife,21,1,0,1,Ivan's old wife,female,1.0,tertiary
a passer - by,23,1,0,1,a passer - by,unknown,0.0,tertiary
a snow - child,75,1,0,1,a snow - child,unknown,0.0,tertiary
a child,77,1,0,1,a child,unknown,0.0,tertiary
her friends,68,1,0,1,her friends,unknown,0.0,tertiary
