clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
the elder one,29,1,9,10,the elder one,male,1.0,primary
the elder,31,2,6,8,the elder,male,1.0,primary
the youngest,25,1,6,7,the youngest,unknown,0.0,primary
two Maidens of this kind,13,1,5,6,two Maidens of this kind,female,1.0,primary
the youngest--My lover,51,1,3,4,the youngest's lover,male,1.0,secondary
The Maidens/the Maidens,14,2,2,4,The Maidens,female,1.0,secondary
maidens,44,4,0,4,maidens,female,1.0,secondary
a maiden,5,3,0,3,a maiden,female,1.0,secondary
hand - rammer,49,3,0,3,hand - rammer,unknown,0.0,secondary
maiden,54,3,0,3,maiden,female,1.0,secondary
A maiden of this kind,10,1,2,3,A maiden of this kind,female,1.0,secondary
emancipated women,47,2,0,2,emancipated women,female,1.0,tertiary
the younger,33,1,1,2,the younger,unknown,0.0,tertiary
the ' maiden,57,1,1,2,the ' maiden,female,1.0,tertiary
the honest Measuring Tape,32,1,1,2,the honest Measuring Tape,unknown,0.0,tertiary
our pavers,7,1,1,2,our pavers,group/nonbinary,1.0,tertiary
hand - rammers,45,2,0,2,hand - rammers,unknown,0.0,tertiary
the maiden,11,2,0,2,the maiden,female,1.0,tertiary
the younger one,41,1,0,1,the younger one,unknown,0.0,tertiary
Missy,3,1,0,1,Missy,unknown,0.0,tertiary
the elder--a maiden for his bride,42,1,0,1,the elder's maiden for his bride,female,1.0,tertiary
each other,38,1,0,1,each other,unknown,0.0,tertiary
Maiden,2,1,0,1,Maiden,female,1.0,tertiary
ten maidens,28,1,0,1,ten maidens,female,1.0,tertiary
a paver,26,1,0,1,a paver,unknown,0.0,tertiary
rammers,48,1,0,1,rammers,unknown,0.0,tertiary
the paver folk,24,1,0,1,the paver folk,unknown,0.0,tertiary
sick - nurses,21,1,0,1,sick - nurses,unknown,0.0,tertiary
milliners,20,1,0,1,milliners,unknown,0.0,tertiary
dancers who stand professionally on one leg,19,1,0,1,dancers who stand professionally on one leg,unknown,0.0,tertiary
principals of institutions,17,1,0,1,principals of institutions,unknown,0.0,tertiary
"certain individuals who are known as "" emancipated women , "" as , for instance , principals of institutions , dancers who stand professionally on one leg , milliners , and sick - nurses",16,1,0,1,"certain individuals who are known as "" emancipated women , "" as , for instance , principals of institutions , dancers who stand professionally on one leg , milliners , and sick - nurses",female,1.0,tertiary
the pavers,15,1,0,1,the pavers,unknown,0.0,tertiary
the elder--his bride,43,1,0,1,the elder's bride,unknown,0.0,tertiary
