sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,adobj_start_bytes,adobj_end_bytes,adobj_start_bytes_text,adobj_end_bytes_text,supersense_category,event_label
0,3,gathering,91,100,91,100,3,83.0,86.0,83.0,86.0,,101.0,110.0,101.0,110.0,111.0,124.0,,,verb.contact,1
1,0,took,4,8,130,134,3,0.0,3.0,126.0,129.0,,9.0,11.0,135.0,137.0,,,,,verb.contact,1
1,1,placed,16,22,142,148,3,0.0,3.0,126.0,129.0,,23.0,25.0,149.0,151.0,,,,,verb.contact,1
1,4,slipped,89,96,215,222,5,76.0,88.0,202.0,214.0,,97.0,113.0,223.0,239.0,,,,,verb.motion,1
2,0,had,10,13,251,254,6,0.0,9.0,241.0,250.0,"1,5",14.0,31.0,255.0,272.0,,,,,verb.possession,1
2,1,baptized,18,26,259,267,5,14.0,17.0,255.0,258.0,1,27.0,31.0,268.0,272.0,,,,,verb.communication,1
4,0,ate,7,10,394,397,5,4.0,6.0,391.0,393.0,,,,,,,,,,verb.consumption,1
4,2,swallow,39,46,426,433,5,30.0,32.0,417.0,419.0,,47.0,69.0,434.0,456.0,70.0,89.0,457.0,476.0,verb.consumption,1
4,5,get,188,191,575,578,9,103.0,117.0,490.0,504.0,5,192.0,204.0,579.0,591.0,,,,,verb.possession,1
5,0,said,25,29,618,622,12,4.0,24.0,597.0,617.0,"9,13",30.0,130.0,623.0,723.0,,,,,verb.communication,1
5,2,apprentice,39,49,632,642,9,30.0,33.0,623.0,626.0,13,50.0,57.0,643.0,650.0,58.0,130.0,651.0,723.0,verb.social,1
5,4,earn,113,117,706,710,,,,,,13,118.0,130.0,711.0,723.0,,,,,verb.possession,1
6,1,apprenticed,12,23,737,748,,,,,,14,24.0,34.0,749.0,759.0,35.0,50.0,,,verb.social,1
7,0,asked,15,20,792,797,1,12.0,14.0,789.0,791.0,,21.0,27.0,798.0,804.0,,,,,verb.communication,1
8,3,give,75,79,1054,1058,16,53.0,62.0,1032.0,1041.0,1,80.0,83.0,1059.0,1062.0,,,,,verb.possession,1
9,0,smashed,8,15,1116,1123,1,5.0,7.0,1113.0,1115.0,1,16.0,38.0,1124.0,1146.0,,,,,verb.contact,1
10,0,received,5,13,1161,1169,1,0.0,4.0,1156.0,1160.0,1,14.0,34.0,1170.0,1190.0,,,,,verb.possession,1
10,2,hired,67,72,1223,1228,1,0.0,4.0,1156.0,1160.0,"1,19",73.0,80.0,1229.0,1236.0,81.0,84.0,1237.0,1240.0,verb.possession,1
