clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
Kilweh,12,33,82,115,Kilweh,male,1.0,primary
Thither Arthur/whither Arthur/Arthur,15,36,58,94,Thither Arthur,male,1.0,primary
Yspaddaden Penkawr/Kilydd with Yspaddaden Penkawr/Yspaddaden/Kilydd,14,23,28,51,Yspaddaden Penkawr,male,1.0,secondary
Kai,22,17,24,41,Kai,male,1.0,secondary
"Mabon/Mabon the son of Modron , and Gwrhyr , who knew the languages of beasts and of birds/Modron/Gwrhyr",25,24,14,38,Mabon,male,1.0,secondary
the stag,170,2,32,34,the stag,male,1.0,tertiary
the king,54,4,27,31,the king,male,1.0,tertiary
the porter,80,7,23,30,the porter,male,1.0,tertiary
the queen/The queen,41,5,21,26,the queen,female,1.0,tertiary
the maiden,274,2,23,25,the maiden,female,1.0,tertiary
Olwen,13,8,15,23,Olwen,female,1.0,tertiary
Arthur 's men,133,6,16,22,Arthur 's men,male,1.0,tertiary
Trwyth,29,3,14,17,Trwyth,male,1.0,tertiary
the giant/The giant,327,8,9,17,the giant,male,1.0,tertiary
the eagle,174,1,14,15,the eagle,unknown,0.0,tertiary
the queen/The queen--her husband,53,1,10,11,the queen's husband,male,1.0,tertiary
the shepherd,106,2,9,11,the shepherd,male,1.0,tertiary
all Arthur 's men,125,1,8,9,all Arthur 's men,male,1.0,tertiary
the salmon,178,1,8,9,the salmon,unknown,0.0,tertiary
the herdsman,105,2,7,9,the herdsman,unknown,0.0,tertiary
Gwrnach,33,5,3,8,Gwrnach,male,1.0,tertiary
the ousel,167,1,7,8,the ousel,female,1.0,tertiary
Arthur 's men--my daughter,298,7,1,8,Arthur 's men's daughter,female,1.0,tertiary
Yspaddaden Penkawr/Kilydd with Yspaddaden Penkawr/Yspaddaden/Kilydd--thy daughter,282,3,4,7,Yspaddaden Penkawr's daughter,female,1.0,tertiary
Kilweh--a man coming out to him,79,1,6,7,Kilweh's man coming out to him,male,1.0,tertiary
a little boy,39,1,6,7,a little boy,male,1.0,tertiary
the wife,111,1,5,6,the wife,female,1.0,tertiary
Goreu,34,3,3,6,Goreu,male,1.0,tertiary
the maiden--my father,279,2,4,6,the maiden's father,male,1.0,tertiary
Gwythyr,35,2,4,6,Gwythyr,male,1.0,tertiary
Bedwyr,23,6,0,6,Bedwyr,unknown,0.0,tertiary
Glewlwyd,17,3,3,6,Glewlwyd,male,1.0,tertiary
the woman,116,2,3,5,the woman,female,1.0,tertiary
a companion,329,2,3,5,a companion,male,1.0,tertiary
Kilweh--your daughter,317,2,3,5,Kilweh's daughter,female,1.0,tertiary
these seven,100,1,4,5,these seven,group/nonbinary,1.0,tertiary
the men,128,1,4,5,the men,male,1.0,tertiary
"Gwyar/Gwalchmai the son of Gwyar , who never returned till he had gained what he sought/Gwalchmai",26,3,2,5,Gwyar,male,1.0,tertiary
Ossol,20,2,2,4,Ossol,male,1.0,tertiary
Custennin,27,4,0,4,Custennin,unknown,0.0,tertiary
Kynddelig,24,1,3,4,Kynddelig,male,1.0,tertiary
the man,144,4,0,4,the man,male,1.0,tertiary
the man who fashioned it,295,1,3,4,the man who fashioned it,male,1.0,tertiary
the boy--his father,64,3,1,4,the boy's father,male,1.0,tertiary
Pennpingyon,16,1,2,3,Pennpingyon,male,1.0,tertiary
the daughter of Yspaddaden Penkawr,68,3,0,3,the daughter of Yspaddaden Penkawr,unknown,0.0,tertiary
a little boy--his mother,42,3,0,3,a little boy's mother,female,1.0,tertiary
"Kilweh--the maiden of whom you speak of , nor of her kindred",252,1,2,3,"Kilweh's maiden of whom you speak of , nor of her kindred",female,1.0,tertiary
a wife,212,3,0,3,a wife,female,1.0,tertiary
a craftsman,323,1,2,3,a craftsman,male,1.0,tertiary
son of Kilydd,243,3,0,3,son of Kilydd,unknown,0.0,tertiary
the boy,63,1,2,3,the boy,male,1.0,tertiary
The man to whom this ring belonged,267,1,2,3,The man to whom this ring belonged,male,1.0,tertiary
the youth,74,2,1,3,the youth,unknown,0.0,tertiary
the boar,308,1,2,3,the boar,male,1.0,tertiary
Mabon the son of Modron,312,3,0,3,Mabon the son of Modron,unknown,0.0,tertiary
A gentle son - in - law,284,3,0,3,A gentle son - in - law,unknown,0.0,tertiary
"Gwrnach the giant , who felt it",158,1,1,2,"Gwrnach the giant , who felt it",unknown,0.0,tertiary
Thither Arthur/whither Arthur/Arthur--his five best men,90,1,1,2,Thither Arthur's five best men,male,1.0,tertiary
the son of Custennin,204,2,0,2,the son of Custennin,unknown,0.0,tertiary
Thither Arthur/whither Arthur/Arthur--his knights,192,2,0,2,Thither Arthur's knights,unknown,0.0,tertiary
the man you name,342,2,0,2,the man you name,male,1.0,tertiary
a messenger,276,2,0,2,a messenger,unknown,0.0,tertiary
Drudwyn,30,2,0,2,Drudwyn,unknown,0.0,tertiary
a black man,143,1,1,2,a black man,male,1.0,tertiary
truly,285,2,0,2,truly,unknown,0.0,tertiary
men,265,2,0,2,men,male,1.0,tertiary
the shepherd--his wife,109,1,1,2,the shepherd's wife,female,1.0,tertiary
Gwrnach the giant,314,2,0,2,Gwrnach the giant,unknown,0.0,tertiary
A shepherd,103,1,1,2,A shepherd,male,1.0,tertiary
a king,37,2,0,2,a king,male,1.0,tertiary
each man,208,1,1,2,each man,male,1.0,tertiary
other porters,222,1,1,2,other porters,group/nonbinary,1.0,tertiary
another wife,210,1,1,2,another wife,female,1.0,tertiary
Kilweh--my wife,217,2,0,2,Kilweh's wife,female,1.0,tertiary
Cluse,21,1,1,2,Cluse,male,1.0,tertiary
the children,46,1,1,2,the children,group/nonbinary,1.0,tertiary
messengers,62,2,0,2,messengers,unknown,0.0,tertiary
a man,55,2,0,2,a man,male,1.0,tertiary
O man,318,1,0,1,O man,male,1.0,tertiary
noble sir,331,1,0,1,noble sir,unknown,0.0,tertiary
the king--his son,59,1,0,1,the king's son,unknown,0.0,tertiary
the queen/The queen--an old woman whom she had gone to visit,60,1,0,1,the queen's old woman whom she had gone to visit,female,1.0,tertiary
a craftsman--a craftsman who brings his trade,326,1,0,1,a craftsman's craftsman who brings his trade,unknown,0.0,tertiary
the new queen,61,1,0,1,the new queen,female,1.0,tertiary
no guest,322,1,0,1,no guest,unknown,0.0,tertiary
the king--his wife Olwen the daughter of Yspaddaden Penkawr,67,1,0,1,the king's wife Olwen the daughter of Yspaddaden Penkawr,female,1.0,tertiary
the son of Kilydd with Yspaddaden Penkawr,139,1,0,1,the son of Kilydd with Yspaddaden Penkawr,unknown,0.0,tertiary
the king--his promised bride,71,1,0,1,the king's promised bride,unknown,0.0,tertiary
the boy's father--my son,214,1,0,1,the boy's father's son,unknown,0.0,tertiary
Kilweh--my lord,316,1,0,1,Kilweh's lord,unknown,0.0,tertiary
Kilweh--My stepmother,215,1,0,1,Kilweh's stepmother,unknown,0.0,tertiary
Canhastyr,32,1,0,1,Canhastyr,unknown,0.0,tertiary
Ca nt Ewin,31,1,0,1,Ca nt Ewin,unknown,0.0,tertiary
the king--your cousin,219,1,0,1,the king's cousin,unknown,0.0,tertiary
any man,309,1,0,1,any man,male,1.0,tertiary
a porter,220,1,0,1,a porter,unknown,0.0,tertiary
someone to open the gate,78,1,0,1,someone to open the gate,unknown,0.0,tertiary
those who remained without,153,1,0,1,those who remained without,unknown,0.0,tertiary
Goreu--his companions,156,1,0,1,Goreu's companions,unknown,0.0,tertiary
son of Custennin,154,1,0,1,son of Custennin,unknown,0.0,tertiary
"Mabon/Mabon the son of Modron , and Gwrhyr , who knew the languages of beasts and of birds/Modron/Gwrhyr--his warriors",183,1,0,1,Mabon's warriors,unknown,0.0,tertiary
Arthur 's hosts,207,1,0,1,Arthur 's hosts,unknown,0.0,tertiary
Kaw,36,1,0,1,Kaw,unknown,0.0,tertiary
the queen/The queen--a woman she knew up in the mountains,43,1,0,1,the queen's woman she knew up in the mountains,female,1.0,tertiary
no man,203,1,0,1,no man,male,1.0,tertiary
neither man,200,1,0,1,neither man,male,1.0,tertiary
three knights,197,1,0,1,three knights,unknown,0.0,tertiary
Arthur 's men--many of them,194,1,0,1,Arthur 's men's of them,unknown,0.0,tertiary
Kilweh--his nurse,45,1,0,1,Kilweh's nurse,unknown,0.0,tertiary
the ants,191,1,0,1,the ants,unknown,0.0,tertiary
