clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
Pickles,2,24,10,34,Pickles,unknown,0.0,primary
Ginger,1,20,4,24,Ginger,unknown,0.0,primary
the policeman/The policeman,38,3,10,13,the policeman,male,1.0,secondary
Penny/Sally Henny Penny,14,3,5,8,Penny,female,1.0,tertiary
a policeman,37,1,6,7,a policeman,male,1.0,tertiary
Tabitha Twitchit,6,4,2,6,Tabitha Twitchit,female,1.0,tertiary
Samuel Whiskers,9,2,4,6,Samuel Whiskers,male,1.0,tertiary
The customers,29,2,3,5,The customers,group/nonbinary,1.0,tertiary
Mr. John Dormouse,12,2,2,4,Mr. John Dormouse,male,1.0,tertiary
everybody,71,3,0,3,everybody,unknown,0.0,tertiary
a customer,27,1,2,3,a customer,female,1.0,tertiary
our own customers,63,1,2,3,our own customers,group/nonbinary,1.0,tertiary
some people,44,1,1,2,some people,group/nonbinary,1.0,tertiary
Dolls,3,1,1,2,Dolls,group/nonbinary,1.0,tertiary
Miss Dormouse,13,1,1,2,Miss Dormouse,female,1.0,tertiary
Timothy/Timothy Baker,11,2,0,2,Timothy,unknown,0.0,tertiary
the trades,49,1,0,1,the trades,unknown,0.0,tertiary
customers,59,1,0,1,customers,unknown,0.0,tertiary
five mice,56,1,0,1,five mice,unknown,0.0,tertiary
Mr. John Dormouse--his daughter,54,1,0,1,Mr. John Dormouse's daughter,unknown,0.0,tertiary
Lucinda,4,1,0,1,Lucinda,unknown,0.0,tertiary
a person,53,1,0,1,a person,unknown,0.0,tertiary
the fish - man,52,1,0,1,the fish - man,male,1.0,tertiary
the butcher,51,1,0,1,the butcher,unknown,0.0,tertiary
men,50,1,0,1,men,male,1.0,tertiary
madam,64,1,0,1,madam,unknown,0.0,tertiary
a gamekeeper,47,1,0,1,a gamekeeper,unknown,0.0,tertiary
the customer,28,1,0,1,the customer,unknown,0.0,tertiary
a real live policeman,73,1,0,1,a real live policeman,unknown,0.0,tertiary
Jane Doll,5,1,0,1,Jane Doll,unknown,0.0,tertiary
a German doll,72,1,0,1,a German doll,unknown,0.0,tertiary
the people who kept the shop,20,1,0,1,the people who kept the shop,unknown,0.0,tertiary
Anna Maria,10,1,0,1,Anna Maria,unknown,0.0,tertiary
policemen,68,1,0,1,policemen,unknown,0.0,tertiary
Kep,8,1,0,1,Kep,unknown,0.0,tertiary
the police,65,1,0,1,the police,unknown,0.0,tertiary
Jan. 1st,7,1,0,1,Jan. 1st,unknown,0.0,tertiary
the toffee customers,31,1,0,1,the toffee customers,unknown,0.0,tertiary
crowds of mice upon the biscuit canisters,60,1,0,1,crowds of mice upon the biscuit canisters,unknown,0.0,tertiary
