clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
the youth/The youth,9,54,180,234,the youth,male,0.9902912621359223,primary
the king/The king,92,32,32,64,the king,male,1.0,tertiary
the man/The man,22,15,39,54,the man,male,1.0,tertiary
The prince/the prince,70,14,22,36,The prince,male,1.0,tertiary
the princess,155,9,27,36,the princess,female,1.0,tertiary
the dog,223,1,23,24,the dog,male,1.0,tertiary
the old woman,23,8,13,21,the old woman,female,1.0,tertiary
the youth/The youth--his master,11,5,13,18,the youth's master,male,1.0,tertiary
the cat,194,5,10,15,the cat,female,1.0,tertiary
the whole army,238,1,10,11,the whole army,group/nonbinary,1.0,tertiary
the old man,80,5,6,11,the old man,male,1.0,tertiary
the youth/The youth--his father,106,5,4,9,the youth's father,male,1.0,tertiary
the king/The king--his daughter,292,2,7,9,the king's daughter,female,1.0,tertiary
the father--his son,3,1,7,8,the father's son,male,1.0,tertiary
the father,2,2,5,7,the father,male,1.0,tertiary
a rich man,8,1,5,6,a rich man,male,1.0,tertiary
father,277,3,3,6,father,male,1.0,tertiary
the dog whom the youth 's master had bought for him,218,1,4,5,the dog whom the youth 's master had bought for him,male,1.0,tertiary
the queen,154,5,0,5,the queen,female,1.0,tertiary
the king/The king--your daughter,300,2,2,4,the king's daughter,female,1.0,tertiary
The prince/the prince--my father,275,2,2,4,The prince's father,male,1.0,tertiary
the king 's daughter,295,3,0,3,the king 's daughter,male,1.0,tertiary
the same old woman with her basket on her arm--the same old woman with her basket on her arm,56,1,2,3,the same old woman with her basket on her arm's same old woman with her basket on her arm,female,1.0,tertiary
master,258,2,1,3,master,unknown,0.0,tertiary
a man,67,2,1,3,a man,male,1.0,tertiary
granny,256,3,0,3,granny,unknown,0.0,tertiary
the young folk,87,1,2,3,the young folk,unknown,0.0,tertiary
an old woman,21,1,2,3,an old woman,female,1.0,tertiary
princess,201,2,1,3,princess,female,1.0,tertiary
a fellow,288,1,1,2,a fellow,male,1.0,tertiary
father--your son,278,2,0,2,father's son,unknown,0.0,tertiary
a poor man,0,1,1,2,a poor man,male,1.0,tertiary
the youth full of impatience and curiosity,33,1,1,2,the youth full of impatience and curiosity,male,1.0,tertiary
the master,49,1,1,2,the master,unknown,0.0,tertiary
daddy,257,2,0,2,daddy,unknown,0.0,tertiary
the woman,25,2,0,2,the woman,female,1.0,tertiary
each other,204,1,0,1,each other,unknown,0.0,tertiary
queen,178,1,0,1,queen,female,1.0,tertiary
the princess--her lover,182,1,0,1,the princess's lover,unknown,0.0,tertiary
the handsomest prince in the world,188,1,0,1,the handsomest prince in the world,male,1.0,tertiary
the folk at the castle,197,1,0,1,the folk at the castle,unknown,0.0,tertiary
a model serving - man,17,1,0,1,a model serving - man,male,1.0,tertiary
the princess--my dearest,310,1,0,1,the princess's dearest,unknown,0.0,tertiary
a servant,10,1,0,1,a servant,unknown,0.0,tertiary
the youth 's master,220,1,0,1,the youth 's master,unknown,0.0,tertiary
a serving man,5,1,0,1,a serving man,male,1.0,tertiary
the king/The king--his army,234,1,0,1,the king's army,unknown,0.0,tertiary
not a soul,252,1,0,1,not a soul,unknown,0.0,tertiary
a prince,248,1,0,1,a prince,male,1.0,tertiary
a princess,249,1,0,1,a princess,female,1.0,tertiary
the handsomest man in the world,164,1,0,1,the handsomest man in the world,male,1.0,tertiary
sister,270,1,0,1,sister,female,1.0,tertiary
the youth/The youth--my brother,269,1,0,1,the youth's brother,male,1.0,tertiary
the king/The king--my daughter,301,1,0,1,the king's daughter,unknown,0.0,tertiary
a witch,268,1,0,1,a witch,unknown,0.0,tertiary
one son,1,1,0,1,one son,unknown,0.0,tertiary
The prince/the prince--Your father,282,1,0,1,The prince's father,male,1.0,tertiary
the king/The king--my son,284,1,0,1,the king's son,unknown,0.0,tertiary
the youth/The youth--your master,267,1,0,1,the youth's master,unknown,0.0,tertiary
the handsomest prince,68,1,0,1,the handsomest prince,male,1.0,tertiary
a vagabond,289,1,0,1,a vagabond,unknown,0.0,tertiary
the youth/The youth--my proxy,291,1,0,1,the youth's proxy,unknown,0.0,tertiary
the old woman--my boy,264,1,0,1,the old woman's boy,male,1.0,tertiary
the king/The king--my dear fellow,293,1,0,1,the king's dear fellow,unknown,0.0,tertiary
the man/The man--a son who gave him a great deal of trouble,122,1,0,1,the man's son who gave him a great deal of trouble,unknown,0.0,tertiary
a man of him,124,1,0,1,a man of him,male,1.0,tertiary
a bride,296,1,0,1,a bride,unknown,0.0,tertiary
the king/The king--my good fellow,297,1,0,1,the king's good fellow,unknown,0.0,tertiary
the old woman with the basket,41,1,0,1,the old woman with the basket,female,1.0,tertiary
the dog--his wife,251,1,0,1,the dog's wife,female,1.0,tertiary
