clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
the woman/The woman,18,4,28,32,the woman,female,1.0,primary
the other,14,3,5,8,the other,female,1.0,tertiary
one of the women,15,1,7,8,one of the women,female,1.0,tertiary
the specters,45,1,5,6,the specters,group/nonbinary,1.0,tertiary
the two women,12,1,2,3,the two women,female,1.0,tertiary
a man,51,1,2,3,a man,male,1.0,tertiary
the women,9,2,1,3,the women,female,1.0,tertiary
people,38,2,1,3,people,group/nonbinary,1.0,tertiary
two peasants,5,2,0,2,two peasants,unknown,0.0,tertiary
the woman/The woman--her friend,19,1,1,2,the woman's friend,female,1.0,tertiary
The man,58,1,0,1,The man,male,1.0,tertiary
those who shortly before had been worshiping,57,1,0,1,those who shortly before had been worshiping,unknown,0.0,tertiary
the dead,56,1,0,1,the dead,unknown,0.0,tertiary
"a man--his wife who lived in a hut known as Ingas , below Mosled",52,1,0,1,"a man's wife who lived in a hut known as Ingas , below Mosled",female,1.0,tertiary
the people there,48,1,0,1,the people there,unknown,0.0,tertiary
the woman/The woman--her neighbor,32,1,0,1,the woman's neighbor,unknown,0.0,tertiary
a great crowd of people,42,1,0,1,a great crowd of people,unknown,0.0,tertiary
"the priest , in full canonicals but without a head",39,1,0,1,"the priest , in full canonicals but without a head",unknown,0.0,tertiary
the witch trolls,28,1,0,1,the witch trolls,unknown,0.0,tertiary
two witch trolls,25,1,0,1,two witch trolls,unknown,0.0,tertiary
the other woman,17,1,0,1,the other woman,female,1.0,tertiary
the two women--whichever one of them,13,1,0,1,the two women's one of them,unknown,0.0,tertiary
One Christmas,11,1,0,1,One Christmas,unknown,0.0,tertiary
a man--his wife,59,1,0,1,a man's wife,female,1.0,tertiary
