clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
poor Thomas/True Thomas/Thomas of Ercildoune/Thomas,21,22,72,94,poor Thomas,male,1.0,primary
poor Thomas/True Thomas/Thomas of Ercildoune/Thomas--the most beautiful lady that he had ever seen coming riding towards him on a grey palfrey,45,1,55,56,poor Thomas's most beautiful lady that he had ever seen coming riding towards him on a grey palfrey,female,1.0,secondary
Poor Thomas/True Thomas/Thomas,25,8,32,40,Poor Thomas,male,1.0,secondary
the Queen/The Queen,90,7,31,38,the Queen,female,1.0,secondary
the Lady,52,4,13,17,the Lady,female,1.0,tertiary
a soldier on guard,155,1,11,12,a soldier on guard,male,1.0,tertiary
The Fairy Queen/the Fairy Queen,187,3,7,10,The Fairy Queen,female,1.0,tertiary
the Laird of Ercildoune,149,1,5,6,the Laird of Ercildoune,male,1.0,tertiary
Everyone,101,1,3,4,Everyone,group/nonbinary,1.0,tertiary
the folk that choose it,197,1,3,4,the folk that choose it,group/nonbinary,1.0,tertiary
the bright - eyed water - rats,44,1,3,4,the bright - eyed water - rats,group/nonbinary,1.0,tertiary
poor Thomas/True Thomas/Thomas of Ercildoune/Thomas--his companion,83,1,3,4,poor Thomas's companion,female,1.0,tertiary
the Queen/The Queen--my Lord,212,2,2,4,the Queen's Lord,male,1.0,tertiary
Thomas Learmont,20,1,3,4,Thomas Learmont,male,1.0,tertiary
The guests,152,1,2,3,The guests,group/nonbinary,1.0,tertiary
Thomas the Rhymer/Thomas,27,3,0,3,Thomas the Rhymer,unknown,0.0,tertiary
mortals,50,2,1,3,mortals,group/nonbinary,1.0,tertiary
men/Men,179,3,0,3,men,male,1.0,tertiary
people,122,3,0,3,people,unknown,0.0,tertiary
the young man,41,2,1,3,the young man,male,1.0,tertiary
Hind/the Hind,32,3,0,3,Hind,unknown,0.0,tertiary
Knights,96,2,0,2,Knights,unknown,0.0,tertiary
the Master of the Tower,145,1,1,2,the Master of the Tower,male,1.0,tertiary
huntsmen,113,1,1,2,huntsmen,group/nonbinary,1.0,tertiary
the Queen/The Queen--my friend,224,2,0,2,the Queen's friend,unknown,0.0,tertiary
the mortal who openeth his lips rashly in Fairy - land--the mortal who openeth his lips rashly in Fairy - land,208,1,1,2,the mortal who openeth his lips rashly in Fairy - land's mortal who openeth his lips rashly in Fairy - land,male,1.0,tertiary
"a Prince who was the son of a French Queen , and who yet bore the blood of Bruce in his veins",132,1,1,2,"a Prince who was the son of a French Queen , and who yet bore the blood of Bruce in his veins",male,0.6,tertiary
the Royal pair,106,1,1,2,the Royal pair,unknown,0.0,tertiary
those who were travelling along that road,70,1,1,2,those who were travelling along that road,group/nonbinary,1.0,tertiary
The Elfin Queen,22,1,1,2,The Elfin Queen,female,1.0,tertiary
Hart/the Hart,33,2,0,2,Hart,unknown,0.0,tertiary
the Rhymer,166,1,1,2,the Rhymer,male,1.0,tertiary
all the Nobles,153,1,1,2,all the Nobles,group/nonbinary,1.0,tertiary
poor Thomas/True Thomas/Thomas of Ercildoune/Thomas--his strange companion,61,2,0,2,poor Thomas's strange companion,unknown,0.0,tertiary
the Fairy Queen,23,2,0,2,the Fairy Queen,female,1.0,tertiary
the officer,160,1,0,1,the officer,unknown,0.0,tertiary
the boy,167,1,0,1,the boy,male,1.0,tertiary
the country folk,174,1,0,1,the country folk,unknown,0.0,tertiary
all three,171,1,0,1,all three,unknown,0.0,tertiary
"the son of a French Queen , and who yet bore the blood of Bruce in his veins",133,1,0,1,"the son of a French Queen , and who yet bore the blood of Bruce in his veins",female,1.0,tertiary
a French Queen,134,1,0,1,a French Queen,female,1.0,tertiary
the defeated English,28,1,0,1,the defeated English,unknown,0.0,tertiary
Bruce,29,1,0,1,Bruce,unknown,0.0,tertiary
A French Quen,233,1,0,1,A French Quen,unknown,0.0,tertiary
the little company of waiting men,169,1,0,1,the little company of waiting men,male,1.0,tertiary
King James,30,1,0,1,King James,male,1.0,tertiary
son of Mary,135,1,0,1,son of Mary,unknown,0.0,tertiary
the Seer,168,1,0,1,the Seer,unknown,0.0,tertiary
Mary,31,1,0,1,Mary,unknown,0.0,tertiary
guests,151,1,0,1,guests,unknown,0.0,tertiary
