clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
Wassamo,2,70,187,257,Wassamo,male,1.0,primary
The cousin/the cousin,18,20,53,73,The cousin,male,1.0,tertiary
the old Sand - Spirit/the Old Spirit/The Old Spirit/The old Sand - Spirit/Old Sand - Spirit,6,9,52,61,the old Sand - Spirit,male,1.0,tertiary
the young man,80,1,47,48,the young man,male,1.0,tertiary
Wassamo--My son,289,3,31,34,Wassamo's son,unknown,0.0,tertiary
Son - in - law,337,4,29,33,Son - in - law,unknown,0.0,tertiary
the Old Spirit,101,8,19,27,the Old Spirit,male,1.0,tertiary
Wassamo--his people,217,2,24,26,Wassamo's people,group/nonbinary,1.0,tertiary
Wassamo--his wife,139,10,10,20,Wassamo's wife,female,1.0,tertiary
the wife of Wassamo,196,2,12,14,the wife of Wassamo,female,1.0,tertiary
"two stately persons , who looked rather more in years than the others , and who appeared to exact obedience from all around them--One of them , whom he heard addressed as the Old Spirit - man",98,1,13,14,"two stately persons , who looked rather more in years than the others , and who appeared to exact obedience from all around them's of them , whom he heard addressed as the Old Spirit - man",male,1.0,tertiary
Wassamo--His cousin/his cousin,33,8,4,12,Wassamo's cousin,female,0.5,tertiary
"the old Sand - Spirit , who was a great speech - maker",260,1,10,11,"the old Sand - Spirit , who was a great speech - maker",male,1.0,tertiary
Wassamo--His parents/his parents,11,5,5,10,Wassamo's parents,group/nonbinary,1.0,tertiary
the Sand - Spirits/the Spirits,7,2,8,10,the Sand - Spirits,group/nonbinary,1.0,tertiary
The cousin of Wassamo,192,1,8,9,The cousin of Wassamo,male,1.0,tertiary
the Old Spirit--every one of his family,123,1,8,9,the Old Spirit's one of his family,group/nonbinary,1.0,tertiary
the whole company of Spirits,262,1,7,8,the whole company of Spirits,group/nonbinary,1.0,tertiary
the old Sand - Spirit/the Old Spirit/The Old Spirit/The old Sand - Spirit/Old Sand - Spirit--your wife,336,4,4,8,the old Sand - Spirit's wife,female,1.0,tertiary
the strange females,47,1,7,8,the strange females,group/nonbinary,1.0,tertiary
The parents of Wassamo,78,1,6,7,The parents of Wassamo,group/nonbinary,1.0,tertiary
the sad cousin of Wassamo,76,1,6,7,the sad cousin of Wassamo,male,1.0,tertiary
Wassamo--My cousin/my cousin,298,6,1,7,Wassamo's cousin,unknown,0.0,tertiary
Wassamo--his friends,300,5,2,7,Wassamo's friends,group/nonbinary,1.0,tertiary
the old Sand - Spirit,121,5,1,6,the old Sand - Spirit,male,1.0,tertiary
the old Sand - Spirit/the Old Spirit/The Old Spirit/The old Sand - Spirit/Old Sand - Spirit--my daughter,332,4,2,6,the old Sand - Spirit's daughter,female,1.0,tertiary
Wassamo's son--your parents,327,2,4,6,Wassamo's son's parents,group/nonbinary,1.0,tertiary
Netawis,5,4,2,6,Netawis,unknown,0.0,tertiary
the travelers who passed by the window at the side of the lodge where they made their requests for comfortable weather and an easy journey,133,1,4,5,the travelers who passed by the window at the side of the lodge where they made their requests for comfortable weather and an easy journey,group/nonbinary,1.0,tertiary
"the mortals on earth , which have been brought by our relation",381,1,4,5,"the mortals on earth , which have been brought by our relation",group/nonbinary,1.0,tertiary
each,205,2,3,5,each,male,1.0,tertiary
cousin,294,4,1,5,cousin,unknown,0.0,tertiary
the two young women in the wood,89,1,4,5,the two young women in the wood,female,1.0,tertiary
The last to appear,255,1,4,5,The last to appear,male,1.0,tertiary
that knavish Island Spirit,345,1,3,4,that knavish Island Spirit,male,1.0,tertiary
the mother of Wassamo,15,2,2,4,the mother of Wassamo,female,1.0,tertiary
those foolish girls,316,1,3,4,those foolish girls,female,1.0,tertiary
Brothers,10,2,2,4,Brothers,male,1.0,tertiary
the Indian people/The Indian people,182,2,2,4,the Indian people,group/nonbinary,1.0,tertiary
each other,21,4,0,4,each other,unknown,0.0,tertiary
"the old Sand - Spirit , who was a great speech - maker--my son - in law",388,1,3,4,"the old Sand - Spirit , who was a great speech - maker's son - in law",male,1.0,tertiary
brothers/Brothers,306,4,0,4,brothers,male,1.0,tertiary
Cousin,3,3,0,3,Cousin,unknown,0.0,tertiary
the Indians,74,1,2,3,the Indians,group/nonbinary,1.0,tertiary
two persons at no great distance,41,1,2,3,two persons at no great distance,unknown,0.0,tertiary
the company,239,3,0,3,the company,unknown,0.0,tertiary
the old Sand - Spirit/the Old Spirit/The Old Spirit/The old Sand - Spirit/Old Sand - Spirit--his son - in - law,187,3,0,3,the old Sand - Spirit's son - in - law,unknown,0.0,tertiary
"two stately persons , who looked rather more in years than the others , and who appeared to exact obedience from all around them",96,1,2,3,"two stately persons , who looked rather more in years than the others , and who appeared to exact obedience from all around them",group/nonbinary,1.0,tertiary
the wife of Wassamo--her Indian company,197,1,1,2,the wife of Wassamo's Indian company,female,1.0,tertiary
the wife of Wassamo--her husband,200,1,1,2,the wife of Wassamo's husband,female,0.5,tertiary
two beautiful young females,44,1,1,2,two beautiful young females,unknown,0.0,tertiary
the whole family,137,1,1,2,the whole family,group/nonbinary,1.0,tertiary
the old Sand - Spirit/the Old Spirit/The Old Spirit/The old Sand - Spirit/Old Sand - Spirit--various Spirits of his acquaintance,236,1,1,2,the old Sand - Spirit's Spirits of his acquaintance,group/nonbinary,1.0,tertiary
Wassamo--his father - in - law,126,2,0,2,Wassamo's father - in - law,male,1.0,tertiary
the Old Spirit--his family,124,2,0,2,the Old Spirit's family,unknown,0.0,tertiary
the few who pass these sand - hills,340,1,1,2,the few who pass these sand - hills,group/nonbinary,1.0,tertiary
the two young women in the wood--that person you have brought on that couch of yours,313,1,1,2,the two young women in the wood's person you have brought on that couch of yours,female,1.0,tertiary
some one passing,113,1,1,2,some one passing,group/nonbinary,1.0,tertiary
the sad cousin of Wassamo--his friend,77,2,0,2,the sad cousin of Wassamo's friend,unknown,0.0,tertiary
the parents,73,2,0,2,the parents,unknown,0.0,tertiary
friends,328,2,0,2,friends,unknown,0.0,tertiary
Wassamo--my father,389,1,0,1,Wassamo's father,male,1.0,tertiary
Wassamo--each of his various petitioners,215,1,0,1,Wassamo's of his various petitioners,unknown,0.0,tertiary
Wassamo 's wife,259,1,0,1,Wassamo 's wife,female,1.0,tertiary
no such spirits at hand,221,1,0,1,no such spirits at hand,unknown,0.0,tertiary
spirits,220,1,0,1,spirits,unknown,0.0,tertiary
Wassamo--your cousin,291,1,0,1,Wassamo's cousin,unknown,0.0,tertiary
Wassamo--his various petitioners,216,1,0,1,Wassamo's various petitioners,unknown,0.0,tertiary
tribe,213,1,0,1,tribe,unknown,0.0,tertiary
the old Sand - Spirit/the Old Spirit/The Old Spirit/The old Sand - Spirit/Old Sand - Spirit--his pipe - bearer,235,1,0,1,the old Sand - Spirit's pipe - bearer,unknown,0.0,tertiary
Wassamo--each one who had given tobacco had painted and marked in distinct characters the totem or family emblem of his family and tribe,211,1,0,1,Wassamo's one who had given tobacco had painted and marked in distinct characters the totem or family emblem of his family and tribe,unknown,0.0,tertiary
a hunter,207,1,0,1,a hunter,unknown,0.0,tertiary
"Wassamo's people--a fine little Sand - Spirit , who had been born to them since his return",278,1,0,1,"Wassamo's people's fine little Sand - Spirit , who had been born to them since his return",unknown,0.0,tertiary
the assembly,261,1,0,1,the assembly,unknown,0.0,tertiary
a spirit,281,1,0,1,a spirit,unknown,0.0,tertiary
the elder,19,1,0,1,the elder,unknown,0.0,tertiary
the petitioners,263,1,0,1,the petitioners,unknown,0.0,tertiary
a son,277,1,0,1,a son,unknown,0.0,tertiary
"that wicked Island Spirit , who looked grim enough at Wassamo 's wife , who had rejected him , as he passed in . Soon after , the old Sand - Spirit , who was a great speech - maker , arose and addressed the assembly",258,1,0,1,"that wicked Island Spirit , who looked grim enough at Wassamo 's wife , who had rejected him , as he passed in . Soon after , the old Sand - Spirit , who was a great speech - maker , arose and addressed the assembly",female,1.0,tertiary
"the owner of several whirlwinds , which were in the habit of raging about in the neighboring country",249,1,0,1,"the owner of several whirlwinds , which were in the habit of raging about in the neighboring country",unknown,0.0,tertiary
those who are expected to come,379,1,0,1,those who are expected to come,unknown,0.0,tertiary
the Guardian Spirit and special director of a great cataract or water - fall,248,1,0,1,the Guardian Spirit and special director of a great cataract or water - fall,unknown,0.0,tertiary
Wassamo--the people of his tribe,190,1,0,1,Wassamo's people of his tribe,unknown,0.0,tertiary
my father 's people,390,1,0,1,my father 's people,male,1.0,tertiary
a Spirit as one,245,1,0,1,a Spirit as one,unknown,0.0,tertiary
a Spirit who had charge of the affairs of a tribe in the North,243,1,0,1,a Spirit who had charge of the affairs of a tribe in the North,unknown,0.0,tertiary
"such strange - looking persons , and in dresses so wild and outlandish",242,1,0,1,"such strange - looking persons , and in dresses so wild and outlandish",unknown,0.0,tertiary
"a sweet - spoken , gentle - faced little Spirit , who was understood to represent a summer - gale that was accustomed to blow , toward evening , in at the lodge - doors , and to be particularly well disposed toward young lovers",252,1,0,1,"a sweet - spoken , gentle - faced little Spirit , who was understood to represent a summer - gale that was accustomed to blow , toward evening , in at the lodge - doors , and to be particularly well disposed toward young lovers",unknown,0.0,tertiary
young lovers,254,1,0,1,young lovers,unknown,0.0,tertiary
