clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
the only one who received a written invitation,11,1,13,14,the only one who received a written invitation,male,1.0,primary
the money - pig,14,3,8,11,the money - pig,male,1.0,primary
the potter,2,1,6,7,the potter,male,1.0,secondary
the players,27,1,6,7,the players,group/nonbinary,1.0,secondary
the rest/The rest,4,2,4,6,the rest,group/nonbinary,1.0,secondary
all the characters,23,1,3,4,all the characters,group/nonbinary,1.0,secondary
"The doll , whose neck had been darned",25,1,1,2,"The doll , whose neck had been darned",female,1.0,tertiary
the audience,22,2,0,2,the audience,unknown,0.0,tertiary
the cracker,21,1,1,2,the cracker,unknown,0.0,tertiary
the large ones,34,1,1,2,the large ones,group/nonbinary,1.0,tertiary
women,39,2,0,2,women,female,1.0,tertiary
men,38,2,0,2,men,male,1.0,tertiary
everybody,41,1,0,1,everybody,unknown,0.0,tertiary
old people,19,1,0,1,old people,unknown,0.0,tertiary
noblemen,40,1,0,1,noblemen,unknown,0.0,tertiary
the children,9,1,0,1,the children,unknown,0.0,tertiary
The little ones,33,1,0,1,The little ones,unknown,0.0,tertiary
the young who were not yet married,20,1,0,1,the young who were not yet married,unknown,0.0,tertiary
