clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
the flax,3,3,35,38,the flax,unknown,0.0,primary
the printer,13,1,21,22,the printer,unknown,0.0,secondary
"books,--for many more persons",14,1,14,15,"books,--for many more persons",unknown,0.0,secondary
The children/the children,19,6,8,14,The children,group/nonbinary,1.0,secondary
people/People,33,4,4,8,people,group/nonbinary,1.0,tertiary
the fern/The fern,2,2,2,4,the fern,unknown,0.0,tertiary
the schoolmaster,24,3,0,3,the schoolmaster,unknown,0.0,tertiary
some old grandfather,53,1,2,3,some old grandfather,male,1.0,tertiary
little children,0,1,1,2,little children,group/nonbinary,1.0,tertiary
these little beings,28,1,1,2,these little beings,group/nonbinary,1.0,tertiary
a voice in the flames,26,1,1,2,a voice in the flames,unknown,0.0,tertiary
little children--their mothers,1,1,1,2,little children's mothers,female,1.0,tertiary
the little invisible beings,30,1,0,1,the little invisible beings,unknown,0.0,tertiary
The children in the house,20,1,0,1,The children in the house,unknown,0.0,tertiary
every one,47,1,0,1,every one,unknown,0.0,tertiary
men,49,1,0,1,men,male,1.0,tertiary
each other,10,1,0,1,each other,unknown,0.0,tertiary
everybody,8,1,0,1,everybody,unknown,0.0,tertiary
the clergyman 's wife,44,1,0,1,the clergyman 's wife,female,1.0,tertiary
the clergyman,43,1,0,1,the clergyman,unknown,0.0,tertiary
the maid,42,1,0,1,the maid,unknown,0.0,tertiary
the luckiest person in the world,40,1,0,1,the luckiest person in the world,unknown,0.0,tertiary
some people,4,1,0,1,some people,unknown,0.0,tertiary
No one in the world,34,1,0,1,No one in the world,unknown,0.0,tertiary
children,32,1,0,1,children,unknown,0.0,tertiary
