clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
Silverwhite/Dear Silverwhite,0,50,82,132,Silverwhite,male,1.0,primary
this Lillwacker/Lillwacker/Dear Lillwacker/Dearest Lillwacker,1,28,70,98,this Lillwacker,male,1.0,primary
the king/The king,8,36,30,66,the king,male,1.0,secondary
The troll/the troll,132,32,27,59,The troll,male,1.0,secondary
The princess/the princess,14,14,23,37,The princess,female,1.0,tertiary
the youth/The youth,133,17,19,36,the youth,male,1.0,tertiary
The king 's daughter/the king 's daughter,44,15,13,28,The king 's daughter,male,1.0,tertiary
the courtier/The courtier,120,11,11,22,the courtier,male,1.0,tertiary
the queen,6,7,9,16,the queen,female,1.0,tertiary
The two foster - brethren,81,1,15,16,The two foster - brethren,male,1.0,tertiary
Silverwhite/King Silverwhite,3,3,10,13,Silverwhite,male,1.0,tertiary
The boys,86,2,10,12,The boys,male,1.0,tertiary
Silverwhite/Dear Silverwhite--his brother,94,8,2,10,Silverwhite's brother,male,1.0,tertiary
The two boys,67,1,9,10,The two boys,male,1.0,tertiary
the sea - troll/The sea - troll,371,9,1,10,the sea - troll,male,1.0,tertiary
The man/the man,89,2,6,8,The man,male,1.0,tertiary
The young king/the young king,274,2,6,8,The young king,male,1.0,tertiary
The old woman/the old woman,52,3,4,7,The old woman,female,1.0,tertiary
the youngest princess,184,2,4,6,the youngest princess,female,1.0,tertiary
Lovely maiden,373,2,4,6,Lovely maiden,female,1.0,tertiary
The princess/the princess--her maid,31,5,0,5,The princess's maid,unknown,0.0,tertiary
a man,85,1,4,5,a man,male,1.0,tertiary
The troll/the troll--my princess,375,4,1,5,The troll's princess,female,1.0,tertiary
the three princesses,249,1,3,4,the three princesses,female,1.0,tertiary
the two brother,351,1,3,4,the two brother,male,1.0,tertiary
The two boys--their children,73,2,2,4,The two boys's children,group/nonbinary,1.0,tertiary
the second princess,160,2,2,4,the second princess,female,1.0,tertiary
a king,4,2,2,4,a king,male,1.0,tertiary
the king/The king--his daughter,19,4,0,4,the king's daughter,unknown,0.0,tertiary
every man,24,1,3,4,every man,male,1.0,tertiary
a dead man,403,1,2,3,a dead man,male,1.0,tertiary
the youngest princess--her sisters,187,3,0,3,the youngest princess's sisters,female,1.0,tertiary
everybody,292,1,2,3,everybody,group/nonbinary,1.0,tertiary
The princess/the princess--her father/Her father,15,3,0,3,The princess's father,male,1.0,tertiary
The monster/the monster,139,3,0,3,The monster,unknown,0.0,tertiary
the fearless youth,117,1,2,3,the fearless youth,male,1.0,tertiary
The princess/the princess--her escort,116,3,0,3,The princess's escort,unknown,0.0,tertiary
The young woman,304,1,2,3,The young woman,female,1.0,tertiary
the same troll who had slain Silverwhite,308,1,2,3,the same troll who had slain Silverwhite,unknown,0.0,tertiary
the maid/The maid,27,2,1,3,the maid,female,1.0,tertiary
The two brothers,362,1,2,3,The two brothers,male,1.0,tertiary
Lillwacker 's dogs--their master,343,1,2,3,Lillwacker 's dogs's master,male,1.0,tertiary
The two foster - brothers,332,1,1,2,The two foster - brothers,male,1.0,tertiary
the king/The king--the troll who is coming to carry me away,374,2,0,2,the king's troll who is coming to carry me away,unknown,0.0,tertiary
the king 's young daughter,12,2,0,2,the king 's young daughter,male,1.0,tertiary
The traitorous courtier,261,1,1,2,The traitorous courtier,male,1.0,tertiary
the youngest daughter,262,1,1,2,the youngest daughter,female,1.0,tertiary
the handsome youth,193,1,1,2,the handsome youth,male,1.0,tertiary
the lovely maiden,189,2,0,2,the lovely maiden,female,1.0,tertiary
the little princess,10,1,1,2,the little princess,female,1.0,tertiary
The king 's daughter/the king 's daughter--her son,64,2,0,2,The king 's daughter's son,male,1.0,tertiary
none other,149,2,0,2,none other,unknown,0.0,tertiary
a famous hero,391,1,1,2,a famous hero,unknown,0.0,tertiary
the youth/The youth--my brother,402,2,0,2,the youth's brother,male,1.0,tertiary
this Lillwacker/Lillwacker/Dear Lillwacker/Dearest Lillwacker--his foster - brother,297,2,0,2,this Lillwacker's foster - brother,male,1.0,tertiary
such a brave hero,125,2,0,2,such a brave hero,unknown,0.0,tertiary
Silverwhite/Dear Silverwhite--My lord king,383,2,0,2,Silverwhite's lord king,male,1.0,tertiary
Lillwacker 's dogs,342,1,1,2,Lillwacker 's dogs,group/nonbinary,1.0,tertiary
this Lillwacker/Lillwacker/Dear Lillwacker/Dearest Lillwacker--your brother,399,2,0,2,this Lillwacker's brother,male,1.0,tertiary
this Lillwacker/Lillwacker/Dear Lillwacker/Dearest Lillwacker--his dogs,318,1,1,2,this Lillwacker's dogs,group/nonbinary,1.0,tertiary
an old woman who was wiser than most folk,41,1,1,2,an old woman who was wiser than most folk,female,1.0,tertiary
the oldest princess,372,2,0,2,the oldest princess,female,1.0,tertiary
the king/The king--your daughters,384,1,0,1,the king's daughters,unknown,0.0,tertiary
all the rest,259,1,0,1,all the rest,unknown,0.0,tertiary
the princesses,260,1,0,1,the princesses,female,1.0,tertiary
this Lillwacker/Lillwacker/Dear Lillwacker/Dearest Lillwacker--your foster - brother,398,1,0,1,this Lillwacker's foster - brother,male,1.0,tertiary
the king/The king--his young wife,265,1,0,1,the king's young wife,female,1.0,tertiary
a huge and savage - looking troll,266,1,0,1,a huge and savage - looking troll,unknown,0.0,tertiary
The troll/the troll--my three brothers,385,1,0,1,The troll's three brothers,male,1.0,tertiary
one another,387,1,0,1,one another,unknown,0.0,tertiary
the queen--her rightful husband,337,1,0,1,the queen's rightful husband,male,1.0,tertiary
others,397,1,0,1,others,unknown,0.0,tertiary
Silverwhite/King Silverwhite--his queen,354,1,0,1,Silverwhite's queen,female,1.0,tertiary
none,298,1,0,1,none,unknown,0.0,tertiary
The troll/the troll--my brothers,388,1,0,1,The troll's brothers,male,1.0,tertiary
people,290,1,0,1,people,unknown,0.0,tertiary
an only daughter,7,1,0,1,an only daughter,unknown,0.0,tertiary
The young woman--Her husband,305,1,0,1,The young woman's husband,male,1.0,tertiary
everybody--our three princesses,392,1,0,1,everybody's three princesses,female,1.0,tertiary
The young king/the young king--his wife,345,1,0,1,The young king's wife,female,1.0,tertiary
the king 's son - in - law,394,1,0,1,the king 's son - in - law,male,1.0,tertiary
Silverwhite/Dear Silverwhite--his beautiful queen,294,1,0,1,Silverwhite's beautiful queen,female,1.0,tertiary
the brother,348,1,0,1,the brother,male,1.0,tertiary
a widower,9,1,0,1,a widower,unknown,0.0,tertiary
the maidens,48,1,0,1,the maidens,female,1.0,tertiary
the king 's daughters,255,1,0,1,the king 's daughters,male,1.0,tertiary
their three daughters,370,1,0,1,their three daughters,unknown,0.0,tertiary
the inhabitants,105,1,0,1,the inhabitants,unknown,0.0,tertiary
The two foster - brethren--your father,364,1,0,1,The two foster - brethren's father,male,1.0,tertiary
