clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
the poor one,6,2,17,19,the poor one,male,1.0,primary
the rich neighbor,4,4,6,10,the rich neighbor,male,1.0,secondary
the giant,29,4,6,10,the giant,male,1.0,secondary
Old Hopgiant,0,5,1,6,Old Hopgiant,male,1.0,secondary
the mowers,23,2,4,6,the mowers,group/nonbinary,1.0,secondary
two neighbors,1,1,4,5,two neighbors,group/nonbinary,1.0,tertiary
the poor neighbor,20,2,3,5,the poor neighbor,male,1.0,tertiary
the big man,21,1,3,4,the big man,male,1.0,tertiary
a large man,15,1,2,3,a large man,male,1.0,tertiary
the poor man,16,1,1,2,the poor man,male,1.0,tertiary
a fellow of truly horrible size,26,1,0,1,a fellow of truly horrible size,unknown,0.0,tertiary
the rich man,38,1,0,1,the rich man,male,1.0,tertiary
the rich peasant,28,1,0,1,the rich peasant,unknown,0.0,tertiary
no fewer than twenty farmhands,18,1,0,1,no fewer than twenty farmhands,unknown,0.0,tertiary
no hopgiant,24,1,0,1,no hopgiant,unknown,0.0,tertiary
the other poor,2,1,0,1,the other poor,unknown,0.0,tertiary
the poor man--his rich neighbor,17,1,0,1,the poor man's rich neighbor,unknown,0.0,tertiary
a single man,14,1,0,1,a single man,male,1.0,tertiary
sole master of the place,40,1,0,1,sole master of the place,unknown,0.0,tertiary
