clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
a master mariner who had the most unheard of good fortune in all that he undertook--a master mariner who had the most unheard of good fortune in all that he undertook,3,1,17,18,a master mariner who had the most unheard of good fortune in all that he undertook's master mariner who had the most unheard of good fortune in all that he undertook,male,1.0,primary
The devil/the devil,8,2,15,17,The devil,male,1.0,primary
the master mariner,9,4,7,11,the master mariner,unknown,0.0,primary
Sir Urian,2,2,6,8,Sir Urian,male,1.0,secondary
The men,20,1,5,6,The men,male,1.0,secondary
several others,16,1,3,4,several others,group/nonbinary,1.0,tertiary
devil,33,1,2,3,devil,unknown,0.0,tertiary
none,4,2,0,2,none,unknown,0.0,tertiary
a master mariner who had the most unheard of good fortune in all that he undertook's master mariner who had the most unheard of good fortune in all that he undertook--the one who was after him,7,1,0,1,a master mariner who had the most unheard of good fortune in all that he undertook's master mariner who had the most unheard of good fortune in all that he undertook's one who was after him,unknown,0.0,tertiary
the mariner,11,1,0,1,the mariner,unknown,0.0,tertiary
the ship,14,1,0,1,the ship,unknown,0.0,tertiary
the ship 's carpenter,15,1,0,1,the ship 's carpenter,unknown,0.0,tertiary
old boy,30,1,0,1,old boy,male,1.0,tertiary
a nice article,32,1,0,1,a nice article,unknown,0.0,tertiary
The devil/the devil--his grandmother,26,1,0,1,The devil's grandmother,female,1.0,tertiary
master mariner,28,1,0,1,master mariner,unknown,0.0,tertiary
