sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,event_label
1,1,passing,21,28,143,150,11,5.0,16.0,127.0,138.0,,,,,,1
2,0,came,3,7,196,200,11,0.0,2.0,193.0,195.0,,8.0,88.0,201.0,281.0,1
3,0,reached,11,18,294,301,11,8.0,10.0,291.0,293.0,,19.0,57.0,302.0,340.0,1
4,0,grew,6,10,348,352,,,,,,11,11.0,51.0,353.0,393.0,1
5,0,went,3,7,398,402,11,0.0,2.0,395.0,397.0,,8.0,33.0,403.0,428.0,1
6,1,guarded,7,14,437,444,,0.0,2.0,430.0,432.0,19,15.0,75.0,445.0,505.0,1
7,0,lay,16,19,523,526,,,,,,19,20.0,63.0,527.0,570.0,1
7,1,raised,48,54,555,561,,20.0,43.0,527.0,550.0,19,55.0,63.0,562.0,570.0,1
7,2,showed,65,71,572,578,,,,,,19,72.0,81.0,579.0,588.0,1
7,3,would,87,92,594,599,,,,,,19,93.0,107.0,600.0,614.0,0
7,4,let,97,100,604,607,,,,,,19,101.0,104.0,608.0,611.0,1
8,0,spent,14,19,630,635,20,0.0,13.0,616.0,629.0,,20.0,32.0,636.0,648.0,0
8,1,satisfying,46,56,662,672,20,0.0,13.0,616.0,629.0,20,57.0,143.0,673.0,759.0,1
8,2,found,99,104,715,720,20,96.0,98.0,712.0,714.0,,105.0,111.0,721.0,727.0,1
8,3,tasted,122,128,738,744,",20",73.0,76.0,689.0,692.0,,,,,,0
9,0,found,11,16,772,777,20,8.0,10.0,769.0,771.0,,17.0,26.0,778.0,787.0,1
10,0,told,3,7,798,802,20,0.0,2.0,795.0,797.0,"22,20",8.0,29.0,803.0,824.0,1
10,2,happened,39,47,834,842,,30.0,34.0,825.0,829.0,20,48.0,54.0,843.0,849.0,1
10,3,reported,71,79,866,874,23,60.0,70.0,855.0,865.0,24,80.0,90.0,875.0,885.0,1
11,0,sent,12,16,914,918,24,0.0,11.0,902.0,913.0,26,17.0,31.0,919.0,933.0,1
11,1,questioned,36,46,938,948,24,0.0,11.0,902.0,913.0,26,47.0,50.0,949.0,952.0,1
11,2,concerning,51,61,953,963,24,0.0,11.0,902.0,913.0,,62.0,64.0,964.0,966.0,0
12,0,said,13,17,981,985,27,0.0,12.0,968.0,980.0,,20.0,53.0,988.0,1021.0,1
14,0,dwells,13,19,1268,1274,,,,,,97,20.0,118.0,1275.0,1373.0,0
15,0,happened,3,11,1378,1386,,,,,,100,38.0,138.0,1413.0,1513.0,1
15,1,dived,55,60,1430,1435,100,43.0,54.0,1418.0,1429.0,,,,,,1
