sentence_id,verb_id,verb,verb_start_byte,verb_end_byte,verb_start_byte_text,verb_end_byte_text,subj_coref_ids,subj_start_byte,subj_end_byte,subj_start_byte_text,subj_end_byte_text,dobj_coref_ids,dobj_start_byte,dobj_end_byte,dobj_start_byte_text,dobj_end_byte_text,event_label
0,0,was,9,12,9,12,5,0.0,8.0,0.0,8.0,11,13.0,132.0,13.0,132.0,0
1,1,observed,32,40,166,174,5,24.0,27.0,158.0,161.0,,,,,,1
1,2,be,44,46,178,180,5,24.0,27.0,158.0,161.0,,47.0,57.0,181.0,191.0,0
1,3,retiring,62,70,196,204,5,24.0,27.0,158.0,161.0,,,,,,1
2,0,passed,4,10,210,216,5,0.0,3.0,206.0,209.0,5,11.0,27.0,217.0,233.0,0
2,1,seemed,45,51,251,257,,,,,,5,52.0,137.0,258.0,343.0,1
2,2,prefer,60,66,266,272,5,0.0,3.0,206.0,209.0,5,67.0,137.0,273.0,343.0,1
3,0,could,13,18,358,363,5,9.0,12.0,354.0,357.0,16,19.0,43.0,364.0,388.0,0
3,1,leave,19,24,364,369,5,9.0,12.0,354.0,357.0,16,25.0,43.0,370.0,388.0,1
3,3,fly,54,57,399,402,5,44.0,47.0,389.0,392.0,,,,,,1
3,5,sit,105,108,450,453,5,44.0,47.0,389.0,392.0,,109.0,126.0,454.0,471.0,1
4,0,would,19,24,547,552,5,15.0,18.0,543.0,546.0,,,,,,0
4,1,turned,46,52,574,580,5,37.0,45.0,565.0,573.0,,,,,,1
4,3,invoking,117,125,645,653,5,108.0,111.0,636.0,639.0,5,126.0,145.0,654.0,673.0,1
4,4,beseeching,151,161,679,689,5,108.0,111.0,636.0,639.0,16,162.0,165.0,690.0,693.0,1
4,5,lighten,169,176,697,704,16,162.0,165.0,690.0,693.0,5,177.0,188.0,705.0,716.0,1
5,0,drew,36,40,754,758,23,31.0,35.0,749.0,753.0,5,41.0,50.0,759.0,768.0,1
6,0,was,3,6,870,873,,0.0,2.0,867.0,869.0,"29,31",7.0,162.0,874.0,1029.0,0
6,1,is,42,44,909,911,,14.0,35.0,881.0,902.0,"29,31",45.0,162.0,912.0,1029.0,0
7,2,visited,60,67,1091,1098,,28.0,48.0,1059.0,1079.0,"32,6",68.0,149.0,1099.0,1180.0,1
7,3,feared,84,90,1115,1121,,,,,,32,91.0,149.0,1122.0,1180.0,1
7,4,fall,94,98,1125,1129,,80.0,83.0,1111.0,1114.0,32,99.0,149.0,1130.0,1180.0,1
8,1,compelled,23,32,1205,1214,6,13.0,17.0,1195.0,1199.0,,33.0,53.0,1215.0,1235.0,1
8,2,make,57,61,1239,1243,6,13.0,17.0,1195.0,1199.0,,62.0,97.0,1244.0,1279.0,1
8,3,failed,110,116,1292,1298,6,99.0,103.0,1281.0,1285.0,"35,6",117.0,251.0,1299.0,1433.0,1
8,4,leave,120,125,1302,1307,6,99.0,103.0,1281.0,1285.0,,126.0,169.0,1308.0,1351.0,1
8,5,show,174,178,1356,1360,6,99.0,103.0,1281.0,1285.0,"35,6",179.0,251.0,1361.0,1433.0,1
8,6,desired,189,196,1371,1378,,,,,,35,197.0,251.0,1379.0,1433.0,1
8,7,stand,200,205,1382,1387,6,184.0,188.0,1366.0,1370.0,35,211.0,251.0,1393.0,1433.0,1
9,1,made,33,37,1468,1472,5,20.0,28.0,1455.0,1463.0,5,38.0,61.0,1473.0,1496.0,1
9,2,gathering,63,72,1498,1507,,,,,,"5,39",73.0,142.0,1508.0,1577.0,1
9,3,would,111,116,1546,1551,,,,,,39,117.0,142.0,1552.0,1577.0,0
9,4,bring,117,122,1552,1557,5,73.0,99.0,1508.0,1534.0,39,123.0,127.0,1558.0,1562.0,1
9,5,relate,148,154,1583,1589,,,,,,"5,39",155.0,162.0,1590.0,1597.0,1
10,0,discountenanced,14,29,1671,1686,39,9.0,13.0,1666.0,1670.0,5,30.0,62.0,1687.0,1719.0,1
10,1,were,69,73,1726,1730,39,64.0,68.0,1721.0,1725.0,39,78.0,99.0,1735.0,1756.0,0
10,2,restrain,86,94,1743,1751,39,64.0,68.0,1721.0,1725.0,39,95.0,99.0,1752.0,1756.0,1
10,3,was,109,112,1766,1769,5,105.0,108.0,1762.0,1765.0,"5,39",113.0,178.0,1770.0,1835.0,0
10,4,feared,158,164,1815,1821,39,153.0,157.0,1810.0,1814.0,5,165.0,178.0,1822.0,1835.0,1
10,5,thwart,168,174,1825,1831,39,116.0,129.0,1773.0,1786.0,5,175.0,178.0,1832.0,1835.0,1
11,0,grew,45,49,1882,1886,5,0.0,32.0,1837.0,1869.0,5,50.0,64.0,1887.0,1901.0,1
12,0,wished,7,13,1910,1916,5,3.0,6.0,1906.0,1909.0,5,14.0,90.0,1917.0,1993.0,1
12,1,solicit,17,24,1920,1927,5,3.0,6.0,1906.0,1909.0,5,25.0,36.0,1928.0,1939.0,1
12,2,procure,40,47,1943,1950,5,25.0,36.0,1928.0,1939.0,,48.0,63.0,1951.0,1966.0,1
