clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
Leelinau,5,18,117,135,Leelinau,female,1.0,primary
the parents/The parents,76,4,15,19,the parents,group/nonbinary,1.0,tertiary
Iagoo,8,3,9,12,Iagoo,male,1.0,tertiary
the old man,124,3,8,11,the old man,male,1.0,tertiary
Leelinau--her parents,39,4,5,9,Leelinau's parents,group/nonbinary,1.0,tertiary
Maiden,131,1,7,8,Maiden,female,1.0,tertiary
Leelinau--her father,16,4,2,6,Leelinau's father,male,1.0,tertiary
the parents/The parents--Their daughter/their daughter,78,2,3,5,the parents's daughter,female,1.0,tertiary
One of the girls,58,1,3,4,One of the girls,female,1.0,tertiary
Indians,6,1,3,4,Indians,group/nonbinary,1.0,tertiary
the parents's daughter--her fairy - lover,115,1,2,3,the parents's daughter's fairy - lover,male,1.0,tertiary
"a father who has ranged the forest to procure the choicest skins for my dress , and kept his lodge supplied with the best spoil of the chase . I am going from a lodge which has been my shelter from the storms of winter , and my shield from the heats of summer . Farewell , my parents",141,1,1,2,"a father who has ranged the forest to procure the choicest skins for my dress , and kept his lodge supplied with the best spoil of the chase . I am going from a lodge which has been my shelter from the storms of winter , and my shield from the heats of summer . Farewell , my parents",male,1.0,tertiary
Leelinau--her mother,44,2,0,2,Leelinau's mother,female,1.0,tertiary
the thief/The thief,121,2,0,2,the thief,unknown,0.0,tertiary
a brave admirer,61,1,1,2,a brave admirer,male,1.0,tertiary
men who are false and cruel,133,1,1,2,men who are false and cruel,male,1.0,tertiary
The young warrior,86,1,1,2,The young warrior,male,1.0,tertiary
Leelinau--her people,48,1,1,2,Leelinau's people,group/nonbinary,1.0,tertiary
unseen beings,46,1,1,2,unseen beings,group/nonbinary,1.0,tertiary
the young man,66,1,1,2,the young man,male,1.0,tertiary
lovers,89,1,0,1,lovers,unknown,0.0,tertiary
none,23,1,0,1,none,unknown,0.0,tertiary
thine own dear lover,132,1,0,1,thine own dear lover,unknown,0.0,tertiary
the chieftain of the Green Plume,139,1,0,1,the chieftain of the Green Plume,unknown,0.0,tertiary
No warrior,90,1,0,1,No warrior,unknown,0.0,tertiary
No warrior 's son,91,1,0,1,No warrior 's son,unknown,0.0,tertiary
Leelinau--her tribe,92,1,0,1,Leelinau's tribe,unknown,0.0,tertiary
Leelinau--my little lover,138,1,0,1,Leelinau's little lover,unknown,0.0,tertiary
some unknown and invisible companion,45,1,0,1,some unknown and invisible companion,unknown,0.0,tertiary
the corn - taker,82,1,0,1,the corn - taker,unknown,0.0,tertiary
Leelinau--my parents,145,1,0,1,Leelinau's parents,unknown,0.0,tertiary
no daughter,103,1,0,1,no daughter,unknown,0.0,tertiary
Suns,10,1,0,1,Suns,unknown,0.0,tertiary
the bereaved parents,105,1,0,1,the bereaved parents,unknown,0.0,tertiary
the parents/The parents--their beloved child,106,1,0,1,the parents's beloved child,unknown,0.0,tertiary
a company of fishermen,108,1,0,1,a company of fishermen,unknown,0.0,tertiary
The figure,112,1,0,1,The figure,unknown,0.0,tertiary
the lost daughter,114,1,0,1,the lost daughter,unknown,0.0,tertiary
the young daughter,84,1,0,1,the young daughter,unknown,0.0,tertiary
the parents/The parents--a suitor for their daughter,77,1,0,1,the parents's suitor for their daughter,unknown,0.0,tertiary
this chief 's son,81,1,0,1,this chief 's son,unknown,0.0,tertiary
this chief,80,1,0,1,this chief,unknown,0.0,tertiary
Leelinau's people--a spirit who had visited them from another land,49,1,0,1,Leelinau's people's spirit who had visited them from another land,unknown,0.0,tertiary
Leelinau--her young companions,51,1,0,1,Leelinau's young companions,unknown,0.0,tertiary
the girls of the neighboring lodges,52,1,0,1,the girls of the neighboring lodges,female,1.0,tertiary
the young people,54,1,0,1,the young people,unknown,0.0,tertiary
the young people of the tribe,56,1,0,1,the young people of the tribe,unknown,0.0,tertiary
the girls,59,1,0,1,the girls,female,1.0,tertiary
every one,60,1,0,1,every one,unknown,0.0,tertiary
the Good Spirit,7,1,0,1,the Good Spirit,unknown,0.0,tertiary
the young men,64,1,0,1,the young men,male,1.0,tertiary
the proprietors of the fairy ground,35,1,0,1,the proprietors of the fairy ground,unknown,0.0,tertiary
its mischievous inhabitants,32,1,0,1,its mischievous inhabitants,unknown,0.0,tertiary
Old man,126,1,0,1,Old man,male,1.0,tertiary
"the favorite daughter of a hunter , who lived on the lake shore near the base of the lofty highlands , called Kaug Wudjoo",11,1,0,1,"the favorite daughter of a hunter , who lived on the lake shore near the base of the lofty highlands , called Kaug Wudjoo",unknown,0.0,tertiary
Walker,9,1,0,1,Walker,unknown,0.0,tertiary
the eldest son of a neighboring chief,72,1,0,1,the eldest son of a neighboring chief,unknown,0.0,tertiary
a neighboring chief,73,1,0,1,a neighboring chief,unknown,0.0,tertiary
fairies which delight in romantic scenes,31,1,0,1,fairies which delight in romantic scenes,unknown,0.0,tertiary
a maiden,120,1,0,1,a maiden,female,1.0,tertiary
the little wild men of the woods,29,1,0,1,the little wild men of the woods,male,1.0,tertiary
one bowed with age,68,1,0,1,one bowed with age,unknown,0.0,tertiary
