clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
the eldest,6,1,34,35,the eldest,female,1.0,primary
the fairy,43,2,26,28,the fairy,female,1.0,primary
The youngest/the youngest,22,2,15,17,The youngest,female,1.0,secondary
the man under the table,29,1,15,16,the man under the table,male,1.0,secondary
the young corpse,47,1,9,10,the young corpse,male,1.0,tertiary
the second daughter,19,1,6,7,the second daughter,female,1.0,tertiary
the fairy--her sisters,59,1,5,6,the fairy's sisters,female,1.0,tertiary
the dead man,18,1,4,5,the dead man,male,1.0,tertiary
the poor woman,10,2,2,4,the poor woman,female,1.0,tertiary
a poor woman,9,1,3,4,a poor woman,female,1.0,tertiary
the mother,8,1,3,4,the mother,female,1.0,tertiary
fair maid,66,2,2,4,fair maid,unknown,0.0,tertiary
the corpse--my mother,76,1,2,3,the corpse's mother,female,1.0,tertiary
the eldest--her mother,7,3,0,3,the eldest's mother,female,1.0,tertiary
the corpse,49,1,1,2,the corpse,unknown,0.0,tertiary
the family,17,1,1,2,the family,group/nonbinary,1.0,tertiary
the young corpse--his mother,55,1,0,1,the young corpse's mother,female,1.0,tertiary
a poor woman that had three daughters,5,1,0,1,a poor woman that had three daughters,female,1.0,tertiary
a witch,56,1,0,1,a witch,unknown,0.0,tertiary
the young man,57,1,0,1,the young man,male,1.0,tertiary
the old beggar,38,1,0,1,the old beggar,unknown,0.0,tertiary
a young woman,58,1,0,1,a young woman,female,1.0,tertiary
the fairy's sisters--their mother,60,1,0,1,the fairy's sisters's mother,female,1.0,tertiary
the young gentleman,62,1,0,1,the young gentleman,male,1.0,tertiary
the good fairy,41,1,0,1,the good fairy,unknown,0.0,tertiary
Pussy,4,1,0,1,Pussy,unknown,0.0,tertiary
woman,35,1,0,1,woman,female,1.0,tertiary
the man,34,1,0,1,the man,male,1.0,tertiary
the fair maid,74,1,0,1,the fair maid,unknown,0.0,tertiary
the girl,33,1,0,1,the girl,female,1.0,tertiary
a girl of courage,68,1,0,1,a girl of courage,female,1.0,tertiary
a corpse,30,1,0,1,a corpse,unknown,0.0,tertiary
the mistress,28,1,0,1,the mistress,unknown,0.0,tertiary
the other two,23,1,0,1,the other two,unknown,0.0,tertiary
the second daughter--her sister,21,1,0,1,the second daughter's sister,female,1.0,tertiary
a poor woman--her son,15,1,0,1,a poor woman's son,unknown,0.0,tertiary
the woman of the house,13,1,0,1,the woman of the house,female,1.0,tertiary
a farmer,11,1,0,1,a farmer,unknown,0.0,tertiary
Mother,65,1,0,1,Mother,female,1.0,tertiary
The youngest/the youngest--her husband,63,1,0,1,The youngest's husband,male,1.0,tertiary
