clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
Momotaro/MOMOTARO,6,58,186,244,Momotaro,male,1.0,primary
The old woman/the old woman,15,11,54,65,The old woman,female,1.0,tertiary
The old man/the old man,13,15,37,52,The old man,male,1.0,tertiary
the three,107,1,32,33,the three,group/nonbinary,1.0,tertiary
the devils,73,4,19,23,the devils,group/nonbinary,1.0,tertiary
Father/father,207,2,20,22,Father,male,1.0,tertiary
the dog/The dog,83,4,14,18,the dog,male,1.0,tertiary
All you devils--All you devils,266,1,15,16,All you devils's you devils,unknown,0.0,tertiary
the bird/The bird,102,2,14,16,the bird,male,1.0,tertiary
The child/the child,52,3,12,15,The child,male,1.0,tertiary
the monkey,90,8,7,15,the monkey,unknown,0.0,tertiary
The old couple/the old couple,29,3,8,11,The old couple,group/nonbinary,1.0,tertiary
a band of devils,223,1,7,8,a band of devils,group/nonbinary,1.0,tertiary
the pheasant,122,2,5,7,the pheasant,male,1.0,tertiary
the two old people,24,2,4,6,the two old people,group/nonbinary,1.0,tertiary
the four watchers at the bow,136,1,4,5,the four watchers at the bow,group/nonbinary,1.0,tertiary
the two maidens,157,1,4,5,the two maidens,female,1.0,tertiary
the boy,69,1,4,5,the boy,male,1.0,tertiary
the devil chief,174,2,1,3,the devil chief,male,1.0,tertiary
These devils,231,1,2,3,These devils,group/nonbinary,1.0,tertiary
the Demon King,273,1,2,3,the Demon King,male,1.0,tertiary
the maidens,158,1,2,3,the maidens,female,1.0,tertiary
all of you--all of you,255,1,2,3,all of you's of you,unknown,0.0,tertiary
The old man/the old man--his wife,16,3,0,3,The old man's wife,female,1.0,tertiary
The two poor damsels,181,1,2,3,The two poor damsels,group/nonbinary,1.0,tertiary
Momotaro/MOMOTARO--his old parents,78,1,2,3,Momotaro's old parents,group/nonbinary,1.0,tertiary
the O Fii San/O Fii San,4,2,0,2,the O Fii San,unknown,0.0,tertiary
each other,116,2,0,2,each other,unknown,0.0,tertiary
The creature,88,1,1,2,The creature,unknown,0.0,tertiary
the four enemies,163,1,1,2,the four enemies,group/nonbinary,1.0,tertiary
our Emperor,227,1,1,2,our Emperor,male,1.0,tertiary
the wicked demon,184,1,1,2,the wicked demon,male,1.0,tertiary
a father,212,1,1,2,a father,male,1.0,tertiary
Heaven,5,2,0,2,Heaven,unknown,0.0,tertiary
old man,199,2,0,2,old man,male,1.0,tertiary
Daimios,8,2,0,2,Daimios,unknown,0.0,tertiary
no child,205,2,0,2,no child,unknown,0.0,tertiary
All you devils's you devils--a mean thing like you,271,1,0,1,All you devils's you devils's mean thing like you,unknown,0.0,tertiary
A wild pheasant,270,1,0,1,A wild pheasant,unknown,0.0,tertiary
The horned demons looking up and only seeing a pheasant,148,1,0,1,The horned demons looking up and only seeing a pheasant,unknown,0.0,tertiary
The great Japanese general Momotaro,267,1,0,1,The great Japanese general Momotaro,unknown,0.0,tertiary
captives of the Demon King,272,1,0,1,captives of the Demon King,male,1.0,tertiary
Momotaro/MOMOTARO--the monsters who had done so much harm in his country,133,1,0,1,Momotaro's monsters who had done so much harm in his country,unknown,0.0,tertiary
Devils,1,1,0,1,Devils,unknown,0.0,tertiary
Momotaro/MOMOTARO--His three followers,142,1,0,1,Momotaro's three followers,unknown,0.0,tertiary
the daughters of Daimios ( Lords,276,1,0,1,the daughters of Daimios ( Lords,unknown,0.0,tertiary
another demon,151,1,0,1,another demon,unknown,0.0,tertiary
an old man,9,1,0,1,an old man,male,1.0,tertiary
Lords,277,1,0,1,Lords,unknown,0.0,tertiary
the Demon King--his servants,278,1,0,1,the Demon King's servants,unknown,0.0,tertiary
a hero of Momotaro,189,1,0,1,a hero of Momotaro,unknown,0.0,tertiary
The two poor damsels--their parents,187,1,0,1,The two poor damsels's parents,unknown,0.0,tertiary
the wicked demon--his slaves,185,1,0,1,the wicked demon's slaves,unknown,0.0,tertiary
others whom the wicked demon had carried off to be his slaves,183,1,0,1,others whom the wicked demon had carried off to be his slaves,unknown,0.0,tertiary
daughters of Daimios,182,1,0,1,daughters of Daimios,unknown,0.0,tertiary
a captive,180,1,0,1,a captive,unknown,0.0,tertiary
the prisoners,177,1,0,1,the prisoners,unknown,0.0,tertiary
many people,283,1,0,1,many people,unknown,0.0,tertiary
big devil,282,1,0,1,big devil,unknown,0.0,tertiary
the victor,173,1,0,1,the victor,unknown,0.0,tertiary
mortal man,172,1,0,1,mortal man,male,1.0,tertiary
Momotaro/MOMOTARO--his enemy,171,1,0,1,Momotaro's enemy,unknown,0.0,tertiary
the only one left,170,1,0,1,the only one left,unknown,0.0,tertiary
The chief of the devils,169,1,0,1,The chief of the devils,unknown,0.0,tertiary
many,168,1,0,1,many,unknown,0.0,tertiary
the three--their leader,109,1,0,1,the three's leader,unknown,0.0,tertiary
the devils--their foe,162,1,0,1,the devils's foe,unknown,0.0,tertiary
Momotaro/MOMOTARO--his little band,160,1,0,1,Momotaro's little band,unknown,0.0,tertiary
the two ladies,159,1,0,1,the two ladies,female,1.0,tertiary
Some of the devils,164,1,0,1,Some of the devils,unknown,0.0,tertiary
the two combatants,101,1,0,1,the two combatants,unknown,0.0,tertiary
good friends,108,1,0,1,good friends,unknown,0.0,tertiary
the poor people who are so unfortunate as to fall into,230,1,0,1,the poor people who are so unfortunate as to fall into,unknown,0.0,tertiary
cannibals,228,1,0,1,cannibals,unknown,0.0,tertiary
the people,225,1,0,1,the people,unknown,0.0,tertiary
mother,216,1,0,1,mother,female,1.0,tertiary
Father/father--your old father,215,1,0,1,Father's old father,male,1.0,tertiary
all other boys,214,1,0,1,all other boys,male,1.0,tertiary
a father--his son,213,1,0,1,a father's son,unknown,0.0,tertiary
Momotaro/MOMOTARO--my mother,211,1,0,1,Momotaro's mother,female,1.0,tertiary
son,209,1,0,1,son,unknown,0.0,tertiary
Momotaro/MOMOTARO--his foster - father,64,1,0,1,Momotaro's foster - father,male,1.0,tertiary
a hero,63,1,0,1,a hero,unknown,0.0,tertiary
The child/the child--any other boys of his own age,61,1,0,1,The child's other boys of his own age,male,1.0,tertiary
SON OF A PEACH,59,1,0,1,SON OF A PEACH,unknown,0.0,tertiary
The old man/the old man--the son of your old age,206,1,0,1,The old man's son of your old age,unknown,0.0,tertiary
no demon or fairy,204,1,0,1,no demon or fairy,unknown,0.0,tertiary
a beautiful little child,48,1,0,1,a beautiful little child,unknown,0.0,tertiary
The old woman/the old woman--her husband,37,1,0,1,The old woman's husband,male,1.0,tertiary
The old woman/the old woman--my old man,196,1,0,1,The old woman's old man,male,1.0,tertiary
the farmers,14,1,0,1,the farmers,unknown,0.0,tertiary
peasants,12,1,0,1,peasants,unknown,0.0,tertiary
some of the poor people who are so unfortunate as to fall into their hands,229,1,0,1,some of the poor people who are so unfortunate as to fall into their hands,unknown,0.0,tertiary
very hateful beings,232,1,0,1,very hateful beings,unknown,0.0,tertiary
a member of Momotaro 's suite,105,1,0,1,a member of Momotaro 's suite,unknown,0.0,tertiary
a mere boy of fifteen,68,1,0,1,a mere boy of fifteen,male,1.0,tertiary
All the three,104,1,0,1,All the three,unknown,0.0,tertiary
The one who first begins a quarrel,262,1,0,1,The one who first begins a quarrel,unknown,0.0,tertiary
friends with one mind,261,1,0,1,friends with one mind,unknown,0.0,tertiary
all of you's of you--you three,260,1,0,1,all of you's of you's three,unknown,0.0,tertiary
an enemy,259,1,0,1,an enemy,unknown,0.0,tertiary
the bird/The bird--your servant,253,1,0,1,the bird's servant,unknown,0.0,tertiary
the bird/The bird--You rascal,252,1,0,1,the bird's rascal,unknown,0.0,tertiary
an old woman,10,1,0,1,an old woman,female,1.0,tertiary
a good fighter,100,1,0,1,a good fighter,unknown,0.0,tertiary
the little party,98,1,0,1,the little party,unknown,0.0,tertiary
sir,251,1,0,1,sir,unknown,0.0,tertiary
dog,248,1,0,1,dog,unknown,0.0,tertiary
Momotaro/MOMOTARO--your followers,245,1,0,1,Momotaro's followers,unknown,0.0,tertiary
Momotaro/MOMOTARO--one of your followers,244,1,0,1,Momotaro's of your followers,unknown,0.0,tertiary
a rude fellow,243,1,0,1,a rude fellow,unknown,0.0,tertiary
a rude man,236,1,0,1,a rude man,male,1.0,tertiary
Momotaro/MOMOTARO--his parents,80,1,0,1,Momotaro's parents,unknown,0.0,tertiary
woman,76,1,0,1,woman,female,1.0,tertiary
no common child,71,1,0,1,no common child,unknown,0.0,tertiary
the robber devils who had been a terror of the land,191,1,0,1,the robber devils who had been a terror of the land,unknown,0.0,tertiary
