clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
The king 's daughter/the king 's daughter,16,27,149,176,The king 's daughter,male,1.0,primary
The bull/the bull,31,28,53,81,The bull,male,1.0,secondary
The prince/the prince,190,36,34,70,The prince,male,1.0,secondary
the princess,172,3,64,67,the princess,female,1.0,secondary
the king/The king,7,35,12,47,the king,male,1.0,tertiary
the queen/The queen,8,10,22,32,the queen,female,1.0,tertiary
Kari/Kari Woodencoat,3,20,6,26,Kari,unknown,0.0,tertiary
the troll,101,9,14,23,the troll,male,1.0,tertiary
the noble lady who had abandoned her glove--the noble lady who had abandoned her glove,213,1,19,20,the noble lady who had abandoned her glove's noble lady who had abandoned her glove,female,1.0,tertiary
the people/The people,81,4,5,9,the people,group/nonbinary,1.0,tertiary
a troll with nine heads,139,1,5,6,a troll with nine heads,male,1.0,tertiary
the handsome and the homely,288,1,5,6,the handsome and the homely,group/nonbinary,1.0,tertiary
the troll with the nine heads,146,1,4,5,the troll with the nine heads,male,1.0,tertiary
a troll with three heads,313,2,3,5,a troll with three heads,male,1.0,tertiary
all the people,204,2,2,4,all the people,group/nonbinary,1.0,tertiary
the pastor,225,3,1,4,the pastor,male,1.0,tertiary
the physician,56,3,1,4,the physician,male,1.0,tertiary
the man,201,3,0,3,the man,male,1.0,tertiary
all the people--none of them,205,3,0,3,all the people's of them,unknown,0.0,tertiary
A troll with six heads,318,1,2,3,A troll with six heads,male,1.0,tertiary
each other,103,3,0,3,each other,unknown,0.0,tertiary
a daughter who was so good and so beautiful that,5,1,1,2,a daughter who was so good and so beautiful that,female,1.0,tertiary
Kari 's evil stepmother,291,1,1,2,Kari 's evil stepmother,female,1.0,tertiary
a king whose wife,4,1,1,2,a king whose wife,male,0.6,tertiary
the rest/The rest,77,2,0,2,the rest,unknown,0.0,tertiary
another king,10,2,0,2,another king,male,1.0,tertiary
the queen/The queen--her daughter,34,2,0,2,the queen's daughter,unknown,0.0,tertiary
the maid/The maid,41,2,0,2,the maid,unknown,0.0,tertiary
every one,233,1,0,1,every one,unknown,0.0,tertiary
hardly any one,235,1,0,1,hardly any one,unknown,0.0,tertiary
other people,255,1,0,1,other people,unknown,0.0,tertiary
some one else,257,1,0,1,some one else,unknown,0.0,tertiary
others,258,1,0,1,others,unknown,0.0,tertiary
all the congregation,265,1,0,1,all the congregation,unknown,0.0,tertiary
not a soul,270,1,0,1,not a soul,unknown,0.0,tertiary
the girl whose foot the golden shoe,287,1,0,1,the girl whose foot the golden shoe,female,1.0,tertiary
"the widow of another king , who also had a daughter",9,1,0,1,"the widow of another king , who also had a daughter",male,1.0,tertiary
the rest in the kitchen,217,1,0,1,the rest in the kitchen,unknown,0.0,tertiary
all the maids,295,1,0,1,all the maids,unknown,0.0,tertiary
all the women who were at the castle,296,1,0,1,all the women who were at the castle,female,1.0,tertiary
all the rest,343,1,0,1,all the rest,unknown,0.0,tertiary
a whole regiment of dragoons,302,1,0,1,a whole regiment of dragoons,unknown,0.0,tertiary
a princess,344,1,0,1,a princess,female,1.0,tertiary
the golden shoe,305,1,0,1,the golden shoe,unknown,0.0,tertiary
a king,307,1,0,1,a king,male,1.0,tertiary
a king 's daughter,308,1,0,1,a king 's daughter,male,1.0,tertiary
a daughter,11,1,0,1,a daughter,unknown,0.0,tertiary
one who was just as ugly and evil as the other,12,1,0,1,one who was just as ugly and evil as the other,unknown,0.0,tertiary
the king/The king--his daughter,83,1,0,1,the king's daughter,unknown,0.0,tertiary
The step - mother,13,1,0,1,The step - mother,female,1.0,tertiary
messengers on all sides,85,1,0,1,messengers on all sides,unknown,0.0,tertiary
The king 's daughter/the king 's daughter--her father,74,1,0,1,The king 's daughter's father,male,1.0,tertiary
others as well,59,1,0,1,others as well,unknown,0.0,tertiary
the other king,51,1,0,1,the other king,male,1.0,tertiary
the queen 's daughter,109,1,0,1,the queen 's daughter,female,1.0,tertiary
the step - daughter,43,1,0,1,the step - daughter,unknown,0.0,tertiary
the troll with six heads,320,1,0,1,the troll with six heads,unknown,0.0,tertiary
the first one,321,1,0,1,the first one,unknown,0.0,tertiary
the servants,40,1,0,1,the servants,unknown,0.0,tertiary
some of the servants,39,1,0,1,some of the servants,unknown,0.0,tertiary
a maid,37,1,0,1,a maid,unknown,0.0,tertiary
the pig - sty,182,1,0,1,the pig - sty,unknown,0.0,tertiary
the cook,186,1,0,1,the cook,unknown,0.0,tertiary
the girl who had formerly attended to it,187,1,0,1,the girl who had formerly attended to it,female,1.0,tertiary
the queen/The queen--her step - daughter,36,1,0,1,the queen's step - daughter,unknown,0.0,tertiary
a man,197,1,0,1,a man,male,1.0,tertiary
daughter,14,1,0,1,daughter,unknown,0.0,tertiary
span,345,1,0,1,span,unknown,0.0,tertiary
