clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
A poor man,4,1,57,58,A poor man,male,1.0,primary
the woman/The woman,15,4,6,10,the woman,female,1.0,tertiary
The man,28,1,8,9,The man,male,1.0,tertiary
Iena,0,5,1,6,Iena,unknown,0.0,tertiary
another beautiful woman,24,1,4,5,another beautiful woman,female,1.0,tertiary
a beautiful female,17,1,3,4,a beautiful female,female,1.0,tertiary
"a beautiful female , sitting on the further side of the lodge",12,1,1,2,"a beautiful female , sitting on the further side of the lodge",female,1.0,tertiary
the Wanderer,5,1,0,1,the Wanderer,unknown,0.0,tertiary
a companion,6,1,0,1,a companion,unknown,0.0,tertiary
"A poor man--a poor wanderer , who had no shelter but such as his leather hunting - shirt provided , and no other household in the world than the bundle which he carried in his hand , and in which his hunting - shirt was laid away",8,1,0,1,"A poor man's poor wanderer , who had no shelter but such as his leather hunting - shirt provided , and no other household in the world than the bundle which he carried in his hand , and in which his hunting - shirt was laid away",unknown,0.0,tertiary
the hunter,14,1,0,1,the hunter,unknown,0.0,tertiary
Night - Hawk,1,1,0,1,Night - Hawk,unknown,0.0,tertiary
Success,2,1,0,1,Success,unknown,0.0,tertiary
Poor Marten,3,1,0,1,Poor Marten,unknown,0.0,tertiary
the weary hunter,27,1,0,1,the weary hunter,unknown,0.0,tertiary
a contented and happy man,30,1,0,1,a contented and happy man,male,1.0,tertiary
